"speciesScientificName","type","projectID"
"Xerospermophilus spilosoma","C","EMML_CHIR"
"Vulpes macrotis","C","EMML_CHIR"
"Ovis canadensis","C","EMML_CHIR"
"Sylvilagus audubonii","C","EMML_CHIR"
"Procyon lotor","C","EMML_CHIR"
"Antilocapra americana","C","EMML_CHIR"
"Cynomys ludovicianus","C","EMML_CHIR"
"Erethizon dorsatum","C","EMML_CHIR"
"Lontra canadensis","C","EMML_CHIR"
"Herpestes urva","A","EMML_DYTP"
"Menetes berdmorei","A","EMML_DYTP"
"Muntiacus muntjak","A","EMML_DYTP"
"Callosciurus finlaysonii","A","EMML_DYTP"
"Canis aureus","A","EMML_DYTP"
"Tupaia belangeri","A","EMML_DYTP"
"Elephas maximus","B","EMML_DYTP"
"Atherurus macrourus","B","EMML_DYTP"
"Bos javanicus","B","EMML_DYTP"
"Paradoxurus hermaphroditus","B","EMML_DYTP"
"Bos gaurus","B","EMML_DYTP"
"Ursus thibetanus","B","EMML_DYTP"
"Viverra zibetha","B","EMML_DYTP"
"Prionailurus bengalensis","B","EMML_DYTP"
"Tragulus kanchil","B","EMML_DYTP"
"Hystrix brachyura","B","EMML_DYTP"
"Macaca leonina","B","EMML_DYTP"
"Muntiacus vaginalis","B","EMML_DYTP"
"Rusa unicolor","B","EMML_DYTP"
"Capricornis sumatraensis","B","EMML_DYTP"
"Helarctos malayanus","B","EMML_DYTP"
"Sus scrofa","B","EMML_DYTP"
"Neofelis nebulosa","B","EMML_DYTP"
"Cuon alpinus","B","EMML_DYTP"
"Melogale personata","B","EMML_DYTP"
"Pardofelis marmorata","B","EMML_DYTP"
"Herpestes javanicus","B","EMML_DYTP"
"Viverricula indica","B","EMML_DYTP"
"Prionodon pardicolor","B","EMML_DYTP"
"Manis javanica","B","EMML_DYTP"
"Martes flavigula","B","EMML_DYTP"
"Arctictis binturong","C","EMML_DYTP"
"Arctonyx collaris","C","EMML_DYTP"
"Rhizomys pruinosus","C","EMML_DYTP"
"Arctogalidia trivirgata","C","EMML_DYTP"
"Paguma larvata","C","EMML_DYTP"
"Lepus peguensis","C","EMML_DYTP"
"Nycticebus bengalensis","C","EMML_DYTP"
"Panthera tigris","C","EMML_DYTP"
"Hylobates pileatus","C","EMML_DYTP"
"Petaurista philippensis","C","EMML_DYTP"
"Ratufa bicolor","C","EMML_DYTP"
"Bandicota indica","C","EMML_DYTP"
"Catopuma temminckii","C","EMML_DYTP"
"Cannomys badius","C","EMML_DYTP"
"Felis chaus","C","EMML_DYTP"
"Rhizomys sumatrensis","C","EMML_DYTP"
"Viverra megaspila","C","EMML_DYTP"
"Tamiops macclellandii","C","EMML_DYTP"
"Macaca fascicularis","C","EMML_DYTP"
"Lutrogale perspicillata","C","EMML_DYTP"
"Aonyx cinereus","C","EMML_DYTP"
"Elephas maximus","B","EMML_DYTP"
"Atherurus macrourus","B","EMML_DYTP"
"Bos javanicus","B","EMML_DYTP"
"Paradoxurus hermaphroditus","B","EMML_DYTP"
"Bos gaurus","B","EMML_DYTP"
"Ursus thibetanus","B","EMML_DYTP"
"Viverra zibetha","B","EMML_DYTP"
"Prionailurus bengalensis","B","EMML_DYTP"
"Tragulus kanchil","B","EMML_DYTP"
"Hystrix brachyura","B","EMML_DYTP"
"Macaca leonina","B","EMML_DYTP"
"Muntiacus vaginalis","B","EMML_DYTP"
"Rusa unicolor","B","EMML_DYTP"
"Capricornis sumatraensis","B","EMML_DYTP"
"Helarctos malayanus","B","EMML_DYTP"
"Sus scrofa","B","EMML_DYTP"
"Neofelis nebulosa","B","EMML_DYTP"
"Cuon alpinus","B","EMML_DYTP"
"Melogale personata","B","EMML_DYTP"
"Pardofelis marmorata","B","EMML_DYTP"
"Herpestes javanicus","B","EMML_DYTP"
"Viverricula indica","B","EMML_DYTP"
"Prionodon pardicolor","B","EMML_DYTP"
"Manis javanica","B","EMML_DYTP"
"Martes flavigula","B","EMML_DYTP"
"Ursus americanus","C","EMML_EWP"
"Sciurus niger","C","EMML_EWP"
"Lepus americanus","C","EMML_EWP"
"Lynx rufus","C","EMML_EWP"
"Marmota monax","C","EMML_EWP"
"Canis latrans","C","EMML_EWP"
"Mephitis mephitis","C","EMML_EWP"
"Castor canadensis","C","EMML_EWP"
"Lontra canadensis","C","EMML_EWP"
"Ondatra zibethicus","C","EMML_EWP"
"Neovison vison","C","EMML_EWP"
"Tamias striatus","A","EMML_FLWP"
"Glaucomys volans","A","EMML_FLWP"
"Tamiasciurus hudsonicus","A","EMML_FLWP"
"Sciurus carolinensis","B","EMML_FLWP"
"Procyon lotor","B","EMML_FLWP"
"Sylvilagus floridanus","B","EMML_FLWP"
"Odocoileus virginianus","B","EMML_FLWP"
"Didelphis virginiana","B","EMML_FLWP"
"Vulpes vulpes","B","EMML_FLWP"
"Urocyon cinereoargenteus","B","EMML_FLWP"
"Mephitis mephitis","B","EMML_FLWP"
"Ursus americanus","B","EMML_FLWP"
"Taxidea taxus","C","EMML_FLWP"
"Lepus europaeus","C","EMML_FLWP"
"Martes pennanti","C","EMML_FLWP"
"Sciurus niger","C","EMML_FLWP"
"Lepus americanus","C","EMML_FLWP"
"Lynx rufus","C","EMML_FLWP"
"Marmota monax","C","EMML_FLWP"
"Canis latrans","C","EMML_FLWP"
"Erethizon dorsatum","C","EMML_FLWP"
"Castor canadensis","C","EMML_FLWP"
"Lontra canadensis","C","EMML_FLWP"
"Ondatra zibethicus","C","EMML_FLWP"
"Neovison vison","C","EMML_FLWP"
"Herpestes urva","A","EMML_HKK"
"Menetes berdmorei","A","EMML_HKK"
"Tapirus indicus","A","EMML_HKK"
"Tupaia belangeri","A","EMML_HKK"
"Muntiacus muntjak","A","EMML_HKK"
"Elephas maximus","B","EMML_HKK"
"Atherurus macrourus","B","EMML_HKK"
"Catopuma temminckii","B","EMML_HKK"
"Bos javanicus","B","EMML_HKK"
"Paradoxurus hermaphroditus","B","EMML_HKK"
"Macaca fascicularis","B","EMML_HKK"
"Cuon alpinus","B","EMML_HKK"
"Bos gaurus","B","EMML_HKK"
"Canis aureus","B","EMML_HKK"
"Ursus thibetanus","B","EMML_HKK"
"Arctonyx collaris","B","EMML_HKK"
"Viverra zibetha","B","EMML_HKK"
"Viverra megaspila","B","EMML_HKK"
"Melogale personata","B","EMML_HKK"
"Panthera pardus","B","EMML_HKK"
"Prionailurus bengalensis","B","EMML_HKK"
"Hystrix brachyura","B","EMML_HKK"
"Paguma larvata","B","EMML_HKK"
"Macaca leonina","B","EMML_HKK"
"Muntiacus vaginalis","B","EMML_HKK"
"Rusa unicolor","B","EMML_HKK"
"Viverricula indica","B","EMML_HKK"
"Helarctos malayanus","B","EMML_HKK"
"Manis javanica","B","EMML_HKK"
"Panthera tigris","B","EMML_HKK"
"Sus scrofa","B","EMML_HKK"
"Martes flavigula","B","EMML_HKK"
"Macaca arctoides","C","EMML_HKK"
"Muntiacus feae","C","EMML_HKK"
"Arctictis binturong","C","EMML_HKK"
"Rhizomys pruinosus","C","EMML_HKK"
"Arctogalidia trivirgata","C","EMML_HKK"
"Macaca assamensis","C","EMML_HKK"
"Prionodon linsang","C","EMML_HKK"
"Trachypithecus phayrei","C","EMML_HKK"
"Petaurista elegans","C","EMML_HKK"
"Lepus peguensis","C","EMML_HKK"
"Nycticebus bengalensis","C","EMML_HKK"
"Hylobates lar","C","EMML_HKK"
"Petaurista philippensis","C","EMML_HKK"
"Ratufa bicolor","C","EMML_HKK"
"Mustela strigidorsa","C","EMML_HKK"
"Petaurista petaurista","C","EMML_HKK"
"Capricornis sumatraensis","C","EMML_HKK"
"Trachypithecus germaini","C","EMML_HKK"
"Herpestes javanicus","C","EMML_HKK"
"Bandicota indica","C","EMML_HKK"
"Cannomys badius","C","EMML_HKK"
"Felis chaus","C","EMML_HKK"
"Rhizomys sumatrensis","C","EMML_HKK"
"Tragulus kanchil","C","EMML_HKK"
"Neofelis nebulosa","C","EMML_HKK"
"Tamiops macclellandii","C","EMML_HKK"
"Trachypithecus barbei","C","EMML_HKK"
"Pardofelis marmorata","C","EMML_HKK"
"Bubalus arnee","C","EMML_HKK"
"Lutra lutra","C","EMML_HKK"
"Lutrogale perspicillata","C","EMML_HKK"
"Aonyx cinereus","C","EMML_HKK"
"Tamiasciurus hudsonicus","A","EMML_ICTS"
"Odocoileus virginianus","B","EMML_ICTS"
"Procyon lotor","B","EMML_ICTS"
"Urocyon cinereoargenteus","B","EMML_ICTS"
"Sciurus carolinensis","B","EMML_ICTS"
"Didelphis virginiana","B","EMML_ICTS"
"Vulpes vulpes","B","EMML_ICTS"
"Canis latrans","B","EMML_ICTS"
"Mephitis mephitis","B","EMML_ICTS"
"Sylvilagus floridanus","B","EMML_ICTS"
"Marmota monax","B","EMML_ICTS"
"Lynx rufus","B","EMML_ICTS"
"Castor canadensis","B","EMML_ICTS"
"Taxidea taxus","C","EMML_ICTS"
"Lepus europaeus","C","EMML_ICTS"
"Ursus americanus","C","EMML_ICTS"
"Sylvilagus transitionalis","C","EMML_ICTS"
"Sylvilagus palustris","C","EMML_ICTS"
"Martes pennanti","C","EMML_ICTS"
"Sciurus niger","C","EMML_ICTS"
"Lepus americanus","C","EMML_ICTS"
"Canis rufus","C","EMML_ICTS"
"Sylvilagus obscurus","C","EMML_ICTS"
"Erethizon dorsatum","C","EMML_ICTS"
"Alces alces","C","EMML_ICTS"
"Lontra canadensis","C","EMML_ICTS"
"Ondatra zibethicus","C","EMML_ICTS"
"Phoca vitulina","C","EMML_ICTS"
"Neovison vison","C","EMML_ICTS"
"Sciurus carolinensis","A","EMML_LEAF"
"Tamiasciurus douglasii","A","EMML_LEAF"
"Glaucomys sabrinus","A","EMML_LEAF"
"Procyon lotor","B","EMML_LEAF"
"Aplodontia rufa","B","EMML_LEAF"
"Odocoileus hemionus","B","EMML_LEAF"
"Canis latrans","B","EMML_LEAF"
"Didelphis virginiana","B","EMML_LEAF"
"Lontra canadensis","B","EMML_LEAF"
"Vulpes vulpes","C","EMML_LEAF"
"Marmota caligata","C","EMML_LEAF"
"Lepus americanus","C","EMML_LEAF"
"Lynx rufus","C","EMML_LEAF"
"Neotamias townsendii","C","EMML_LEAF"
"Mephitis mephitis","C","EMML_LEAF"
"Cervus canadensis","C","EMML_LEAF"
"Martes americana","C","EMML_LEAF"
"Erethizon dorsatum","C","EMML_LEAF"
"Sylvilagus floridanus","C","EMML_LEAF"
"Puma concolor","C","EMML_LEAF"
"Castor canadensis","C","EMML_LEAF"
"Ondatra zibethicus","C","EMML_LEAF"
"Neovison vison","C","EMML_LEAF"
"Glaucomys volans","A","EMML_MKLB"
"Odocoileus virginianus","B","EMML_MKLB"
"Procyon lotor","B","EMML_MKLB"
"Sciurus carolinensis","B","EMML_MKLB"
"Canis latrans","B","EMML_MKLB"
"Didelphis virginiana","B","EMML_MKLB"
"Vulpes vulpes","B","EMML_MKLB"
"Sylvilagus floridanus","B","EMML_MKLB"
"Urocyon cinereoargenteus","B","EMML_MKLB"
"Lynx rufus","B","EMML_MKLB"
"Mephitis mephitis","B","EMML_MKLB"
"Sciurus niger","C","EMML_MKLB"
"Castor canadensis","C","EMML_MKLB"
"Lontra canadensis","C","EMML_MKLB"
"Ondatra zibethicus","C","EMML_MKLB"
"Neovison vison","C","EMML_MKLB"
"Atherurus africanus","A","EMML_MKS"
"Hystrix cristata","A","EMML_MKS"
"Atelerix albiventris","A","EMML_MKS"
"Orycteropus afer","B","EMML_MKS"
"Syncerus caffer","B","EMML_MKS"
"Loxodonta africana","B","EMML_MKS"
"Cephalophus nigrifrons","B","EMML_MKS"
"Cercopithecus mitis","B","EMML_MKS"
"Redunca redunca","B","EMML_MKS"
"Tragelaphus scriptus","B","EMML_MKS"
"Potamochoerus larvatus","B","EMML_MKS"
"Lepus capensis","B","EMML_MKS"
"Genetta maculata","B","EMML_MKS"
"Sylvicapra grimmia","B","EMML_MKS"
"Tragelaphus oryx","B","EMML_MKS"
"Genetta genetta","B","EMML_MKS"
"Lophiomys imhausi","B","EMML_MKS"
"Mellivora capensis","B","EMML_MKS"
"Bdeogale jacksoni","B","EMML_MKS"
"Panthera pardus","B","EMML_MKS"
"Atilax paludinosus","B","EMML_MKS"
"Procavia capensis","B","EMML_MKS"
"Leptailurus serval","B","EMML_MKS"
"Herpestes sanguineus","B","EMML_MKS"
"Dendrohyrax arboreus","B","EMML_MKS"
"Crocuta crocuta","B","EMML_MKS"
"Raphicerus campestris","B","EMML_MKS"
"Hyaena hyaena","B","EMML_MKS"
"Nesotragus moschatus","B","EMML_MKS"
"Ictonyx striatus","B","EMML_MKS"
"Otocyon megalotis","C","EMML_MKS"
"Chlorocebus pygerythrus","C","EMML_MKS"
"Cricetomys ansorgei","C","EMML_MKS"
"Kobus ellipsiprymnus","C","EMML_MKS"
"Redunca fulvorufula","C","EMML_MKS"
"Alcelaphus buselaphus","C","EMML_MKS"
"Proteles cristata","C","EMML_MKS"
"Otolemur garnettii","C","EMML_MKS"
"Ceratotherium simum","C","EMML_MKS"
"Diceros bicornis","C","EMML_MKS"
"Hylomyscus endorobae","C","EMML_MKS"
"Felis silvestris","C","EMML_MKS"
"Ichneumia albicauda","C","EMML_MKS"
"Heterohyrax brucei","C","EMML_MKS"
"Tragelaphus strepsiceros","C","EMML_MKS"
"Gerbillus harwoodi","C","EMML_MKS"
"Tragelaphus eurycerus","C","EMML_MKS"
"Equus quagga","C","EMML_MKS"
"Lepus victoriae","C","EMML_MKS"
"Canis adustus","C","EMML_MKS"
"Phacochoerus africanus","C","EMML_MKS"
"Oreotragus oreotragus","C","EMML_MKS"
"Civettictis civetta","C","EMML_MKS"
"Nandinia binotata","C","EMML_MKS"
"Caracal caracal","C","EMML_MKS"
"Cephalophus harveyi","C","EMML_MKS"
"Hylochoerus meinertzhageni","C","EMML_MKS"
"Colobus guereza","C","EMML_MKS"
"Herpestes ichneumon","C","EMML_MKS"
"Genetta servalina","C","EMML_MKS"
"Thryonomys gregorianus","C","EMML_MKS"
"Madoqua kirkii","C","EMML_MKS"
"Canis mesomelas","C","EMML_MKS"
"Papio anubis","C","EMML_MKS"
"Smutsia temminckii","C","EMML_MKS"
"Aepyceros melampus","C","EMML_MKS"
"Mungos mungo","C","EMML_MKS"
"Canis lupaster","C","EMML_MKS"
"Aonyx capensis","C","EMML_MKS"
"Hydrictis maculicollis","C","EMML_MKS"
"Thryonomys swinderianus","C","EMML_MKS"
"Tamias striatus","A","EMML_NCCC"
"Sus scrofa","A","EMML_NCCC"
"Cervus elaphus","A","EMML_NCCC"
"Glaucomys volans","A","EMML_NCCC"
"Neotoma floridana","A","EMML_NCCC"
"Mustela frenata","A","EMML_NCCC"
"Tamiasciurus hudsonicus","A","EMML_NCCC"
"Odocoileus virginianus","B","EMML_NCCC"
"Procyon lotor","B","EMML_NCCC"
"Sciurus carolinensis","B","EMML_NCCC"
"Sylvilagus floridanus","B","EMML_NCCC"
"Canis latrans","B","EMML_NCCC"
"Didelphis virginiana","B","EMML_NCCC"
"Ursus americanus","B","EMML_NCCC"
"Lynx rufus","B","EMML_NCCC"
"Urocyon cinereoargenteus","B","EMML_NCCC"
"Marmota monax","B","EMML_NCCC"
"Mephitis mephitis","B","EMML_NCCC"
"Vulpes vulpes","B","EMML_NCCC"
"Sylvilagus obscurus","B","EMML_NCCC"
"Sylvilagus palustris","B","EMML_NCCC"
"Sciurus niger","B","EMML_NCCC"
"Lontra canadensis","B","EMML_NCCC"
"Castor canadensis","B","EMML_NCCC"
"Canis rufus","B","EMML_NCCC"
"Sylvilagus aquaticus","C","EMML_NCCC"
"Lepus americanus","C","EMML_NCCC"
"Erethizon dorsatum","C","EMML_NCCC"
"Ondatra zibethicus","C","EMML_NCCC"
"Phoca vitulina","C","EMML_NCCC"
"Neovison vison","C","EMML_NCCC"
"Glaucomys volans","A","EMML_NCSU"
"Odocoileus virginianus","B","EMML_NCSU"
"Sciurus carolinensis","B","EMML_NCSU"
"Marmota monax","B","EMML_NCSU"
"Canis latrans","B","EMML_NCSU"
"Didelphis virginiana","B","EMML_NCSU"
"Urocyon cinereoargenteus","B","EMML_NCSU"
"Procyon lotor","B","EMML_NCSU"
"Vulpes vulpes","B","EMML_NCSU"
"Sylvilagus floridanus","B","EMML_NCSU"
"Castor canadensis","B","EMML_NCSU"
"Lontra canadensis","B","EMML_NCSU"
"Mephitis mephitis","B","EMML_NCSU"
"Sylvilagus palustris","C","EMML_NCSU"
"Sciurus niger","C","EMML_NCSU"
"Lynx rufus","C","EMML_NCSU"
"Ondatra zibethicus","C","EMML_NCSU"
"Neovison vison","C","EMML_NCSU"
"Ammospermophilus harrisii","A","EMML_OPRI"
"Neotoma albigula","A","EMML_OPRI"
"Spilogale gracilis","A","EMML_OPRI"
"Dipodomys merriami","A","EMML_OPRI"
"Dipodomys deserti","A","EMML_OPRI"
"Canis latrans","B","EMML_OPRI"
"Vulpes macrotis","B","EMML_OPRI"
"Taxidea taxus","B","EMML_OPRI"
"Lepus californicus","B","EMML_OPRI"
"Antilocapra americana","B","EMML_OPRI"
"Sylvilagus audubonii","B","EMML_OPRI"
"Lepus alleni","B","EMML_OPRI"
"Urocyon cinereoargenteus","B","EMML_OPRI"
"Xerospermophilus tereticaudus","B","EMML_OPRI"
"Odocoileus hemionus","B","EMML_OPRI"
"Lynx rufus","B","EMML_OPRI"
"Otospermophilus variegatus","B","EMML_OPRI"
"Pecari tajacu","B","EMML_OPRI"
"Odocoileus virginianus","B","EMML_OPRI"
"Mephitis mephitis","B","EMML_OPRI"
"Nasua narica","C","EMML_OPRI"
"Mephitis macroura","C","EMML_OPRI"
"Ovis canadensis","C","EMML_OPRI"
"Procyon lotor","C","EMML_OPRI"
"Bassariscus astutus","C","EMML_OPRI"
"Erethizon dorsatum","C","EMML_OPRI"
"Sylvilagus floridanus","C","EMML_OPRI"
"Puma concolor","C","EMML_OPRI"
"Castor canadensis","C","EMML_OPRI"
"Lontra canadensis","C","EMML_OPRI"
"Philander andersoni","A","EMML_PA"
"Metachirus nudicaudatus","A","EMML_PA"
"Puma concolor","A","EMML_PA"
"Cebus albifrons","A","EMML_PA"
"Mazama nemorivaga","B","EMML_PA"
"Dasyprocta fuliginosa","B","EMML_PA"
"Didelphis marsupialis","B","EMML_PA"
"Speothos venaticus","B","EMML_PA"
"Pecari tajacu","B","EMML_PA"
"Myrmecophaga tridactyla","B","EMML_PA"
"Priodontes maximus","B","EMML_PA"
"Galictis vittata","B","EMML_PA"
"Panthera onca","B","EMML_PA"
"Herpailurus yagouaroundi","B","EMML_PA"
"Tapirus terrestris","B","EMML_PA"
"Leopardus wiedii","B","EMML_PA"
"Leopardus pardalis","B","EMML_PA"
"Mazama americana","B","EMML_PA"
"Atelocynus microtis","B","EMML_PA"
"Nasua nasua","B","EMML_PA"
"Tamandua tetradactyla","B","EMML_PA"
"Cuniculus paca","B","EMML_PA"
"Eira barbara","B","EMML_PA"
"Tayassu pecari","B","EMML_PA"
"Coendou prehensilis","C","EMML_PA"
"Saimiri cassiquiarensis","C","EMML_PA"
"Hylaeamys perenensis","C","EMML_PA"
"Sapajus apella","C","EMML_PA"
"Lagothrix lagothricha","C","EMML_PA"
"Myoprocta pratti","C","EMML_PA"
"Echimys saturnus","C","EMML_PA"
"Mustela africana","C","EMML_PA"
"Euryoryzomys macconnelli","C","EMML_PA"
"Alouatta seniculus","C","EMML_PA"
"Sciurus igniventris","C","EMML_PA"
"Cebus yuracus","C","EMML_PA"
"Plecturocebus discolor","C","EMML_PA"
"Cebuella pygmaea","C","EMML_PA"
"Marmosa regina","C","EMML_PA"
"Pattonomys occasius","C","EMML_PA"
"Pithecia napensis","C","EMML_PA"
"Hylaeamys yunganus","C","EMML_PA"
"Leopardus tigrinus","C","EMML_PA"
"Leontocebus lagonotus","C","EMML_PA"
"Choloepus didactylus","C","EMML_PA"
"Bradypus variegatus","C","EMML_PA"
"Cabassous unicinctus","C","EMML_PA"
"Alouatta juara","C","EMML_PA"
"Coendou ichillus","C","EMML_PA"
"Ateles belzebuth","C","EMML_PA"
"Potos flavus","C","EMML_PA"
"Dasypus novemcinctus","C","EMML_PA"
"Dasypus kappleri","C","EMML_PA"
"Bassaricyon alleni","C","EMML_PA"
"Aotus vociferans","C","EMML_PA"
"Dactylomys dactylinus","C","EMML_PA"
"Coendou bicolor","C","EMML_PA"
"Dinomys branickii","C","EMML_PA"
"Chironectes minimus","C","EMML_PA"
"Hydrochoerus hydrochaeris","C","EMML_PA"
"Lontra longicaudis","C","EMML_PA"
"Pteronura brasiliensis","C","EMML_PA"
"Procyon cancrivorus","C","EMML_PA"
"Glaucomys volans","A","EMML_PRP"
"Tamias striatus","A","EMML_PRP"
"Odocoileus virginianus","B","EMML_PRP"
"Urocyon cinereoargenteus","B","EMML_PRP"
"Canis latrans","B","EMML_PRP"
"Procyon lotor","B","EMML_PRP"
"Sylvilagus floridanus","B","EMML_PRP"
"Didelphis virginiana","B","EMML_PRP"
"Sciurus carolinensis","B","EMML_PRP"
"Vulpes vulpes","B","EMML_PRP"
"Marmota monax","B","EMML_PRP"
"Lynx rufus","B","EMML_PRP"
"Lontra canadensis","B","EMML_PRP"
"Ursus americanus","C","EMML_PRP"
"Sylvilagus palustris","C","EMML_PRP"
"Sciurus niger","C","EMML_PRP"
"Mephitis mephitis","C","EMML_PRP"
"Castor canadensis","C","EMML_PRP"
"Ondatra zibethicus","C","EMML_PRP"
"Neovison vison","C","EMML_PRP"
"Tamias striatus","A","EMML_RBS"
