"spp_name","itis_name","check"
"Hylochoerus meinertzhageni","Hylochoerus meinertzhageni","valid"
"Cercopithecus cephus","Cercopithecus cephus","valid"
"Trachypithecus obscurus","Trachypithecus obscurus","valid"
"Presbytis siamensis","Presbytis siamensis","valid"
"Prionailurus planiceps","Prionailurus planiceps","valid"
"Viverra megaspila","Viverra megaspila","valid"
"Neofelis nebulosa","Neofelis nebulosa","valid"
"Viverra tangalunga","Viverra tangalunga","valid"
"Fossa fossana","Fossa fossana","valid"
"Galidia elegans","Galidia elegans","valid"
"Tenrec ecaudatus","Tenrec ecaudatus","valid"
"Eulemur rufifrons","Eulemur rufifrons","valid"
"Cryptoprocta ferox","Cryptoprocta ferox","valid"
"Hemicentetes nigriceps","Hemicentetes nigriceps","valid"
"Galidictis fasciata","Galidictis fasciata","valid"
"Daubentonia madagascariensis","Daubentonia madagascariensis","valid"
"Setifer setosus","Setifer setosus","valid"
"Eupleres goudotii","Eupleres goudotii","valid"
"Microgale cowani","Microgale cowani","valid"
"Eulemur rubriventer","Eulemur rubriventer","valid"
"Hapalemur griseus","Hapalemur griseus","valid"
"Propithecus edwardsi","Propithecus edwardsi","valid"
"Lepilemur microdon","Lepilemur microdon","valid"
"Hemicentetes semispinosus","Hemicentetes semispinosus","valid"
"Cheirogaleus major","Cheirogaleus major","valid"
"Hapalemur aureus","Hapalemur aureus","valid"
"Eulemur fulvus","Eulemur fulvus","valid"
"Bdeogale crassicauda","Bdeogale crassicauda","valid"
"Cercocebus sanjei","Cercocebus sanjei","valid"
"Cephalophus spadix","Cephalophus spadix","valid"
"Papio cynocephalus","Papio cynocephalus","valid"
"Rhynchocyon cirnei","Rhynchocyon cirnei","valid"
"Mungos mungo","Mungos mungo","valid"
"Petrodromus tetradactylus","Petrodromus tetradactylus","valid"
"Crocuta crocuta","Crocuta crocuta","valid"
"Dendrohyrax arboreus","Dendrohyrax arboreus","valid"
"Marmosa mexicana","Marmosa mexicana","valid"
"Conepatus semistriatus","Conepatus semistriatus","valid"
"Procyon lotor","Procyon lotor","valid"
"Bassariscus sumichrasti","Bassariscus sumichrasti","valid"
"Caluromys derbianus","Caluromys derbianus","valid"
"Tremarctos ornatus","Tremarctos ornatus","valid"
"Philander andersoni","Philander andersoni","valid"
"Choloepus didactylus","Choloepus didactylus","valid"
"Mazama gouazoubira","Mazama gouazoubira","valid"
"Kobus ellipsiprymnus","Kobus ellipsiprymnus","valid"
"Kobus kob","Kobus kob","valid"
"Genetta pardina","Genetta pardina","valid"
"Phacochoerus africanus","Phacochoerus africanus","valid"
"Ichneumia albicauda","Ichneumia albicauda","valid"
"Erythrocebus patas","Erythrocebus patas","valid"
"Ourebia ourebi","Ourebia ourebi","valid"
"Alcelaphus buselaphus","Alcelaphus buselaphus","valid"
"Chlorocebus sabaeus","Chlorocebus sabaeus","valid"
"Hystrix cristata","Hystrix cristata","valid"
"Cephalophus rufilatus","Cephalophus rufilatus","valid"
"Sylvicapra grimmia","Sylvicapra grimmia","valid"
"Caracal caracal","Caracal caracal","valid"
"Thryonomys swinderianus","Thryonomys swinderianus","valid"
"Cricetomys gambianus","Cricetomys gambianus","valid"
"Xerus erythropus","Xerus erythropus","valid"
"Lepus saxatilis","Lepus saxatilis","valid"
"Mungos gambianus","Mungos gambianus","valid"
"Senegal bushbaby","Galago senegalensis","valid"
"Lynx canadensis","Lynx canadensis","valid"
"Lepus americanus","Lepus americanus","valid"
"Pekania pennanti","Pekania pennanti","valid"
"Sciurus vulgaris","Sciurus vulgaris","valid"
"Alces alces","Alces alces","valid"
"Vulpes vulpes","Vulpes vulpes","valid"
"Rangifer tarandus","Rangifer tarandus","valid"
"Martes americana","Martes americana","valid"
"Ursus americanus","Ursus americanus","valid"
"Marmota","Marmota","valid"
"Lontra canadensis","Lontra canadensis","valid"
"Nanger granti","Nanger granti","valid"
"Redunca redunca","Redunca redunca","valid"
"Madoqua Kirkii","Madoqua kirkii","valid"
"Equus quagga","Equus quagga","valid"
"Eudorcas thomsonii","Eudorcas thomsonii","valid"
"Aepyceros melampus","Aepyceros melampus","valid"
"Giraffa tippelskirchi","Giraffa tippelskirchi","valid"
"Connochaetes taurinus","Connochaetes taurinus","valid"
"Panthera leo","Panthera leo","valid"
"Ardeotis kori","Ardeotis kori","valid"
"Otocyon megalotis","Otocyon megalotis","valid"
"Canis mesomelas","Canis mesomelas","valid"
"Acinonyx jubatus","Acinonyx jubatus","valid"
"Taurotragus oryx","Taurotragus oryx","valid"
"Proteles cristata","Proteles cristata","valid"
"Hippopotamus amphibius","Hippopotamus amphibius","valid"
"Hyaena hyaena","Hyaena hyaena","valid"
"Chlorocebus pygerythrus","Chlorocebus pygerythrus","valid"
"Sagittarius serpentarius","Sagittarius serpentarius","valid"
"Damaliscus korrigum","Damaliscus korrigum","valid"
"Rodentia","Rodentia","valid"
"Felis silvestris","Felis silvestris","valid"
"Diceros bicornis","Diceros bicornis","valid"
"Ictonyx striatus","Ictonyx striatus","valid"
"Mephitis mephitis","Mephitis mephitis","valid"
"Sciurus carolinensis","Sciurus carolinensis","valid"
"Tamiasciurus hudsonicus","Tamiasciurus hudsonicus","valid"
"Tamias striatus","Tamias striatus","valid"
"Sylvilagus floridanus","Sylvilagus floridanus","valid"
"Urocyon cinereoargenteus","Urocyon cinereoargenteus","valid"
"Mustela erminea","Mustela erminea","valid"
"Mustela frenata","Mustela frenata","valid"
"Lynx rufus","Lynx rufus","valid"
"Sciurus niger","Sciurus niger","valid"
"Spilogale putorius","Spilogale putorius","valid"
"Glaucomys volans","Glaucomys volans","valid"
"Marmota monax","Marmota monax","valid"
"Castor canadensis","Castor canadensis","valid"
"Aplodontia rufa","Aplodontia rufa","valid"
"Odocoileus hemionus","Odocoileus hemionus","valid"
"Tamiasciurus douglasii","Tamiasciurus douglasii","valid"
"Glaucomys sabrinus","Glaucomys sabrinus","valid"
"Castor Canadensis","Castor canadensis","valid"
"Sylvilagus obscurus","Sylvilagus obscurus","valid"
"Sylvilagus palustris","Sylvilagus palustris","valid"
"Cervus elaphus","Cervus elaphus","valid"
"Neotoma floridana","Neotoma floridana","valid"
"Mustela nivalis","Mustela nivalis","valid"
"Sciurus griseus","Sciurus griseus","valid"
"Mustela vison","Mustela vison","valid"
"Vulpes macrotis","Vulpes macrotis","valid"
"Taxidea taxus","Taxidea taxus","valid"
"Lepus californicus","Lepus californicus","valid"
"Antilocapra americana","Antilocapra americana","valid"
"Sylvilagus audubonii","Sylvilagus audubonii","valid"
"Lepus alleni","Lepus alleni","valid"
"Xerospermophilus tereticaudus","Xerospermophilus tereticaudus","valid"
"Ammospermophilus harrisii","Ammospermophilus harrisii","valid"
"Neotoma albigula","Neotoma albigula","valid"
"Otospermophilus variegatus","Otospermophilus variegatus","valid"
"Spilogale gracilis","Spilogale gracilis","valid"
"Dipodomys merriami","Dipodomys merriami","valid"
"Dipodomys deserti","Dipodomys deserti","valid"
"Bassariscus astutus","Bassariscus astutus","valid"
"Conepatus leuconotus","Conepatus leuconotus","valid"
"Tamias dorsalis","Tamias dorsalis","valid"
"Mephitis macroura","Mephitis macroura","valid"
"Ondatra zibethicus","Ondatra zibethicus","valid"
"Sylvilagus bachmani","Sylvilagus bachmani","valid"
"Neotoma fuscipes","Neotoma fuscipes","valid"
"Atherurus macrourus","Atherurus macrourus","valid"
"Bos javanicus","Bos javanicus","valid"
"Ursus thibetanus","Ursus thibetanus","valid"
"Menetes berdmorei","Menetes berdmorei","valid"
"Hystrix brachyura","Hystrix brachyura","valid"
"Canis aureus","Canis aureus","valid"
"Tupaia belangeri","Tupaia belangeri","valid"
