"speciesScientificName","type","projectID"
"Hylomyscus vulcanorum","C","TEAMS_BIF"
"Cercopithecus ascanius","C","TEAMS_BIF"
"Ceratotherium simum","C","TEAMS_BIF"
"Ichneumia albicauda","C","TEAMS_BIF"
"Protoxerus stangeri","C","TEAMS_BIF"
"Dendromus kivu","C","TEAMS_BIF"
"Hystrix africaeaustralis","C","TEAMS_BIF"
"Philantomba monticola","C","TEAMS_BIF"
"Syncerus caffer","C","TEAMS_BIF"
"Phacochoerus africanus","C","TEAMS_BIF"
"Ictonyx striatus","C","TEAMS_BIF"
"Galagoides thomasi","C","TEAMS_BIF"
"Otolemur crassicaudatus","C","TEAMS_BIF"
"Cricetomys emini","C","TEAMS_BIF"
"Hystrix cristata","C","TEAMS_BIF"
"Damaliscus lunatus","C","TEAMS_BIF"
"Perodicticus ibeanus","C","TEAMS_BIF"
"Hylochoerus meinertzhageni","C","TEAMS_BIF"
"Lophocebus albigena","C","TEAMS_BIF"
"Herpestes ichneumon","C","TEAMS_BIF"
"Smutsia gigantea","C","TEAMS_BIF"
"Thryonomys gregorianus","C","TEAMS_BIF"
"Genetta maculata","C","TEAMS_BIF"
"Anomalurus derbianus","C","TEAMS_BIF"
"Procavia capensis","C","TEAMS_BIF"
"Sylvicapra grimmia","C","TEAMS_BIF"
"Crocuta crocuta","C","TEAMS_BIF"
"Mungos mungo","C","TEAMS_BIF"
"Canis lupaster","C","TEAMS_BIF"
"Aonyx congicus","C","TEAMS_BIF"
"Hydrictis maculicollis","C","TEAMS_BIF"
"Potamogale velox","C","TEAMS_BIF"
"Thryonomys swinderianus","C","TEAMS_BIF"
"Metachirus nudicaudatus","A","TEAMS_CAX"
"Atelocynus microtis","A","TEAMS_CAX"
"Cebus apella","A","TEAMS_CAX"
"Mazama nana","A","TEAMS_CAX"
"Mazama americana","B","TEAMS_CAX"
"Didelphis marsupialis","B","TEAMS_CAX"
"Eira barbara","B","TEAMS_CAX"
"Leopardus pardalis","B","TEAMS_CAX"
"Tapirus terrestris","B","TEAMS_CAX"
"Puma concolor","B","TEAMS_CAX"
"Pecari tajacu","B","TEAMS_CAX"
"Dasypus kappleri","B","TEAMS_CAX"
"Mazama nemorivaga","B","TEAMS_CAX"
"Dasypus novemcinctus","B","TEAMS_CAX"
"Myrmecophaga tridactyla","B","TEAMS_CAX"
"Tamandua tetradactyla","B","TEAMS_CAX"
"Leopardus wiedii","B","TEAMS_CAX"
"Panthera onca","B","TEAMS_CAX"
"Nasua nasua","B","TEAMS_CAX"
"Cabassous unicinctus","B","TEAMS_CAX"
"Priodontes maximus","B","TEAMS_CAX"
"Marmosa demerarae","B","TEAMS_CAX"
"Tayassu pecari","B","TEAMS_CAX"
"Herpailurus yagouaroundi","B","TEAMS_CAX"
"Coendou prehensilis","C","TEAMS_CAX"
"Dasypus septemcinctus","C","TEAMS_CAX"
"Toromys grandis","C","TEAMS_CAX"
"Sapajus apella","C","TEAMS_CAX"
"Sciurus gilvigularis","C","TEAMS_CAX"
"Myoprocta pratti","C","TEAMS_CAX"
"Mustela africana","C","TEAMS_CAX"
"Alouatta discolor","C","TEAMS_CAX"
"Euryoryzomys macconnelli","C","TEAMS_CAX"
"Alouatta belzebul","C","TEAMS_CAX"
"Cuniculus paca","C","TEAMS_CAX"
"Euphractus sexcinctus","C","TEAMS_CAX"
"Echimys chrysurus","C","TEAMS_CAX"
"Leopardus tigrinus","C","TEAMS_CAX"
"Aotus azarae","C","TEAMS_CAX"
"Choloepus didactylus","C","TEAMS_CAX"
"Bradypus variegatus","C","TEAMS_CAX"
"Speothos venaticus","C","TEAMS_CAX"
"Saimiri collinsi","C","TEAMS_CAX"
"Potos flavus","C","TEAMS_CAX"
"Mico argentatus","C","TEAMS_CAX"
"Galictis vittata","C","TEAMS_CAX"
"Hylaeamys megacephalus","C","TEAMS_CAX"
"Dasyprocta croconota","C","TEAMS_CAX"
"Philander opossum","C","TEAMS_CAX"
"Chiropotes utahickae","C","TEAMS_CAX"
"Coendou nycthemera","C","TEAMS_CAX"
"Hydrochoerus hydrochaeris","C","TEAMS_CAX"
"Lontra longicaudis","C","TEAMS_CAX"
"Pteronura brasiliensis","C","TEAMS_CAX"
"Procyon cancrivorus","C","TEAMS_CAX"
"Dasypus kappleri","A","TEAMS_COU"
"Sylvilagus brasiliensis","A","TEAMS_COU"
"Cebus albifrons","A","TEAMS_COU"
"Cebus apella","A","TEAMS_COU"
"Monodelphis glirina","A","TEAMS_COU"
"Saguinus fuscicollis","A","TEAMS_COU"
"Saimiri sciureus","A","TEAMS_COU"
"Didelphis virginiana","A","TEAMS_COU"
"Mazama americana","B","TEAMS_COU"
"Leopardus pardalis","B","TEAMS_COU"
"Pecari tajacu","B","TEAMS_COU"
"Panthera onca","B","TEAMS_COU"
"Tapirus terrestris","B","TEAMS_COU"
"Myrmecophaga tridactyla","B","TEAMS_COU"
"Priodontes maximus","B","TEAMS_COU"
"Dasypus novemcinctus","B","TEAMS_COU"
"Puma concolor","B","TEAMS_COU"
"Tayassu pecari","B","TEAMS_COU"
"Didelphis marsupialis","B","TEAMS_COU"
"Nasua nasua","B","TEAMS_COU"
"Tamandua tetradactyla","B","TEAMS_COU"
"Atelocynus microtis","B","TEAMS_COU"
"Procyon cancrivorus","B","TEAMS_COU"
"Leopardus wiedii","B","TEAMS_COU"
"Herpailurus yagouaroundi","B","TEAMS_COU"
"Eira barbara","B","TEAMS_COU"
"Saimiri boliviensis","B","TEAMS_COU"
"Philander opossum","B","TEAMS_COU"
"Pteronura brasiliensis","B","TEAMS_COU"
"Marmosa regina","B","TEAMS_COU"
"Leopardus tigrinus","B","TEAMS_COU"
"Ateles chamek","B","TEAMS_COU"
"Lontra longicaudis","B","TEAMS_COU"
"Pithecia irrorata","C","TEAMS_COU"
"Coendou prehensilis","C","TEAMS_COU"
"Mazama chunyi","C","TEAMS_COU"
"Hylaeamys perenensis","C","TEAMS_COU"
"Sapajus apella","C","TEAMS_COU"
"Monodelphis ronaldi","C","TEAMS_COU"
"Lagothrix lagothricha","C","TEAMS_COU"
"Cebus cuscinus","C","TEAMS_COU"
"Mustela africana","C","TEAMS_COU"
"Euryoryzomys macconnelli","C","TEAMS_COU"
"Alouatta seniculus","C","TEAMS_COU"
"Cuniculus paca","C","TEAMS_COU"
"Sciurus igniventris","C","TEAMS_COU"
"Dactylomys boliviensis","C","TEAMS_COU"
"Choloepus hoffmanni","C","TEAMS_COU"
"Odocoileus virginianus","C","TEAMS_COU"
"Hylaeamys yunganus","C","TEAMS_COU"
"Bradypus variegatus","C","TEAMS_COU"
"Cabassous unicinctus","C","TEAMS_COU"
"Speothos venaticus","C","TEAMS_COU"
"Plecturocebus urubambensis","C","TEAMS_COU"
"Potos flavus","C","TEAMS_COU"
"Marmosa demerarae","C","TEAMS_COU"
"Aotus nigriceps","C","TEAMS_COU"
"Bassaricyon alleni","C","TEAMS_COU"
"Galictis vittata","C","TEAMS_COU"
"Leontocebus weddelli","C","TEAMS_COU"
"Coendou bicolor","C","TEAMS_COU"
"Dinomys branickii","C","TEAMS_COU"
"Monodelphis peruviana","C","TEAMS_COU"
"Mazama nemorivaga","C","TEAMS_COU"
"Dasyprocta variegata","C","TEAMS_COU"
"Euryoryzomys nitidus","C","TEAMS_COU"
"Chironectes minimus","C","TEAMS_COU"
"Hydrochoerus hydrochaeris","C","TEAMS_COU"
"Metachirus nudicaudatus","A","TEAMS_CSN"
"Marmosa murina","A","TEAMS_CSN"
"Monodelphis brevicaudata","A","TEAMS_CSN"
"Puma concolor","B","TEAMS_CSN"
"Pecari tajacu","B","TEAMS_CSN"
"Mazama nemorivaga","B","TEAMS_CSN"
"Mazama americana","B","TEAMS_CSN"
"Dasypus novemcinctus","B","TEAMS_CSN"
"Myrmecophaga tridactyla","B","TEAMS_CSN"
"Leopardus pardalis","B","TEAMS_CSN"
"Priodontes maximus","B","TEAMS_CSN"
"Dasypus kappleri","B","TEAMS_CSN"
"Herpailurus yagouaroundi","B","TEAMS_CSN"
"Tapirus terrestris","B","TEAMS_CSN"
"Leopardus wiedii","B","TEAMS_CSN"
"Philander opossum","B","TEAMS_CSN"
"Panthera onca","B","TEAMS_CSN"
"Didelphis marsupialis","B","TEAMS_CSN"
"Nasua nasua","B","TEAMS_CSN"
"Tayassu pecari","B","TEAMS_CSN"
"Eira barbara","B","TEAMS_CSN"
"Tamandua tetradactyla","B","TEAMS_CSN"
"Odocoileus virginianus","B","TEAMS_CSN"
"Procyon cancrivorus","B","TEAMS_CSN"
"Saimiri sciureus","B","TEAMS_CSN"
"Leopardus tigrinus","B","TEAMS_CSN"
"Speothos venaticus","B","TEAMS_CSN"
"Cabassous unicinctus","B","TEAMS_CSN"
"Coendou prehensilis","C","TEAMS_CSN"
"Sapajus apella","C","TEAMS_CSN"
"Lutreolina crassicaudata","C","TEAMS_CSN"
"Alouatta macconnelli","C","TEAMS_CSN"
"Mustela africana","C","TEAMS_CSN"
"Chiropotes chiropotes","C","TEAMS_CSN"
"Cebus castaneus","C","TEAMS_CSN"
"Pithecia pithecia","C","TEAMS_CSN"
"Euryoryzomys macconnelli","C","TEAMS_CSN"
"Didelphis imperfecta","C","TEAMS_CSN"
"Cuniculus paca","C","TEAMS_CSN"
"Cavia aperea","C","TEAMS_CSN"
"Myoprocta acouchy","C","TEAMS_CSN"
"Ateles paniscus","C","TEAMS_CSN"
"Coendou melanurus","C","TEAMS_CSN"
"Echimys chrysurus","C","TEAMS_CSN"
"Hylaeamys yunganus","C","TEAMS_CSN"
"Choloepus didactylus","C","TEAMS_CSN"
"Chiropotes sagulatus","C","TEAMS_CSN"
"Dasyprocta leporina","C","TEAMS_CSN"
"Potos flavus","C","TEAMS_CSN"
"Marmosa demerarae","C","TEAMS_CSN"
"Galictis vittata","C","TEAMS_CSN"
"Bradypus tridactylus","C","TEAMS_CSN"
"Hylaeamys megacephalus","C","TEAMS_CSN"
"Saguinus midas","C","TEAMS_CSN"
"Cerdocyon thous","C","TEAMS_CSN"
"Chironectes minimus","C","TEAMS_CSN"
"Hydrochoerus hydrochaeris","C","TEAMS_CSN"
"Lontra longicaudis","C","TEAMS_CSN"
"Pteronura brasiliensis","C","TEAMS_CSN"
"Genetta servalina","A","TEAMS_KRP"
"Crossarchus obscurus","A","TEAMS_KRP"
"Herpestes sanguineus","A","TEAMS_KRP"
"Euoticus pallidus","A","TEAMS_KRP"
"Phataginus tricuspis","B","TEAMS_KRP"
"Philantomba monticola","B","TEAMS_KRP"
"Mandrillus leucophaeus","B","TEAMS_KRP"
"Potamochoerus porcus","B","TEAMS_KRP"
"Loxodonta africana","B","TEAMS_KRP"
"Herpestes naso","B","TEAMS_KRP"
"Cephalophus ogilbyi","B","TEAMS_KRP"
"Cercocebus torquatus","B","TEAMS_KRP"
"Nandinia binotata","B","TEAMS_KRP"
