"speciesScientificName","type","projectID","ForStrat.Value","diet.breadth","BodyMass.Value","Activity.Nocturnal","Activity.Diurnal","X15.1_LitterSize","X10.1_PopulationGrpSize","X10.2_SocialGrpSize"
"Urocyon cinereoargenteus","C","TEAMS_BCI","G",5,3833.72,1,0,3.71,-999,-999
"Cuniculus paca","C","TEAMS_BCI","G",3,8172.55,1,0,1.01,-999,1
"Choloepus hoffmanni","C","TEAMS_BCI","Ar",2,4750.01,1,0,1,-999,1
"Panthera onca","C","TEAMS_BCI","G",3,1e+05,1,1,1.96,1,1
"Bradypus variegatus","C","TEAMS_BCI","Ar",1,4335.01,1,1,1,-999,1
"Speothos venaticus","C","TEAMS_BCI","G",1,5999.98,0,1,3.8,-999,-999
"Potos flavus","C","TEAMS_BCI","Ar",3,3000,1,0,1.11,-999,1
"Ateles geoffroyi","C","TEAMS_BCI","Ar",5,5284.94,0,1,1.01,-999,42
"Dasyprocta punctata","C","TEAMS_BCI","G",3,2674.98,0,1,1.25,-999,1
"Procyon lotor","C","TEAMS_BCI","G",4,5524.97,1,0,3.06,-999,-999
"Chironectes minimus","C","TEAMS_BCI","G",3,946,1,0,3.24,-999,1
"Lontra longicaudis","C","TEAMS_BCI","G",3,6554.96,1,0,3.69,-999,-999
"Hydrochoerus isthmius","C","TEAMS_BCI","G",2,21267.32,0,1,4.99,-999,-999
"Cercopithecus lhoesti","A","TEAMS_BIF","Ar",4,5375.02,0,1,1,-999,17.4
"Genetta genetta","A","TEAMS_BIF","Ar",3,1800,1,0,2.29,-999,-999
"Canis lupus","A","TEAMS_BIF","G",1,32183.33,1,0,4.98,-999,-999
"Genetta tigrina","A","TEAMS_BIF","Ar",3,2225,1,0,2.76,-999,-999
"Genetta victoriae","A","TEAMS_BIF","Ar",3,2999.99,1,0,-999,-999,-999
"Colobus angolensis","A","TEAMS_BIF","Ar",2,9850,0,1,1.01,9,10.9
"Cephalophus nigrifrons","B","TEAMS_BIF","G",3,13899.85,1,0,-999,-999,-999
