"speciesScientificName","type","projectID","ForStrat.Value","diet.breadth","BodyMass.Value","Activity.Nocturnal","Activity.Diurnal","X15.1_LitterSize","X10.1_PopulationGrpSize","X10.2_SocialGrpSize"
"Genetta cristata","C","TEAMS_KRP","Ar",3,1863.23,1,0,2.5,-999,-999
"Dendrohyrax dorsalis","C","TEAMS_KRP","Ar",2,3175,1,0,1.22,1,1
"Atherurus africanus","C","TEAMS_KRP","G",2,1934,1,0,1.5,-999,1
"Cephalophus dorsalis","C","TEAMS_KRP","G",3,20000,1,0,1,-999,1
"Protoxerus stangeri","C","TEAMS_KRP","S",2,621.5,0,1,1.47,-999,-999
"Xerus erythropus","C","TEAMS_KRP","G",5,502.4,0,1,3.45,-999,-999
"Syncerus caffer","C","TEAMS_KRP","G",1,580002.68,1,0,1.08,3000,12
"Piliocolobus preussi","C","TEAMS_KRP","Ar",2,8865.71,0,1,1.01,55,40
"Genetta thierryi","C","TEAMS_KRP","Ar",3,1400.01,1,0,-999,-999,-999
"Cricetomys emini","C","TEAMS_KRP","G",4,1299.99,1,0,0.97,-999,-999
"Tragelaphus scriptus","C","TEAMS_KRP","G",1,43250.39,1,1,1,-999,1
"Cercopithecus erythrotis","C","TEAMS_KRP","Ar",5,3918.33,0,1,1.02,-999,-999
"Herpestes ichneumon","C","TEAMS_KRP","G",5,5174.98,1,1,3,-999,-999
"Genetta maculata","C","TEAMS_KRP","Ar",3,2225,1,0,2.12,-999,-999
"Anomalurus derbianus","C","TEAMS_KRP","Ar",4,649.99,1,0,1,-999,1
"Mellivora capensis","C","TEAMS_KRP","G",5,8500,0,1,2.35,-999,-999
"Crossarchus platycephalus","C","TEAMS_KRP","G",2,1250,1,1,-999,-999,-999
"Aonyx capensis","C","TEAMS_KRP","G",2,18999.84,1,0,2.62,-999,-999
"Hippopotamus amphibius","C","TEAMS_KRP","G",1,1417489.99,1,0,1,585,585
"Hydrictis maculicollis","C","TEAMS_KRP","G",3,4180.53,1,1,2,-999,-999
"Potamogale velox","C","TEAMS_KRP","G",3,659.99,1,0,2.5,1,1
"Thryonomys swinderianus","C","TEAMS_KRP","G",3,3180.02,1,0,3.88,-999,1
"Tragelaphus spekii","C","TEAMS_KRP","G",1,77999.17,1,1,1,-999,6
"Metachirus nudicaudatus","A","TEAMS_MAS","S",5,375,1,0,3.87,-999,1
"Pithecia pithecia","A","TEAMS_MAS","Ar",4,1375.5,0,1,1.01,-999,2.7
"Leopardus pardalis","B","TEAMS_MAS","G",3,11900.08,1,0,1.66,-999,-999
"Mazama americana","B","TEAMS_MAS","G",2,22799.75,1,1,1.22,-999,1
"Dasypus novemcinctus","B","TEAMS_MAS","G",1,4203.78,1,0,3.96,-999,1
"Didelphis marsupialis","B","TEAMS_MAS","S",4,1091.16,1,0,7.09,-999,1
"Eira barbara","B","TEAMS_MAS","G",2,3910.03,1,1,2.14,-999,-999
"Tamandua tetradactyla","B","TEAMS_MAS","S",1,5515.06,1,1,1,-999,1
"Pecari tajacu","B","TEAMS_MAS","G",4,21266.69,1,0,1.56,11.65,20
"Panthera onca","B","TEAMS_MAS","G",3,1e+05,1,1,1.96,1,1
"Tapirus terrestris","B","TEAMS_MAS","G",1,207500.91,1,0,1,-999,1
"Nasua nasua","B","TEAMS_MAS","S",3,3793.85,0,1,3.69,-999,-999
"Philander opossum","B","TEAMS_MAS","S",5,585.5,1,1,4.75,-999,1
"Myrmecophaga tridactyla","B","TEAMS_MAS","G",1,22333.15,1,1,1,1,1
"Tayassu pecari","B","TEAMS_MAS","G",5,32233.69,1,0,2,102.5,102.5
"Puma concolor","B","TEAMS_MAS","G",1,51600.04,1,1,2.76,-999,1
"Leopardus wiedii","B","TEAMS_MAS","S",2,3249.97,1,0,1.5,-999,-999
"Cabassous unicinctus","B","TEAMS_MAS","G",1,4799.99,1,0,1,-999,1
"Coendou prehensilis","C","TEAMS_MAS","Ar",2,4399.97,1,0,0.98,-999,1
"Sciurus gilvigularis","C","TEAMS_MAS","Ar",3,803.01,0,1,-999,-999,-999
"Alouatta macconnelli","C","TEAMS_MAS","Ar",2,6320.06,0,1,-999,-999,-999
"Mustela africana","C","TEAMS_MAS","G",2,536.99,1,1,-999,-999,-999
"Chiropotes chiropotes","C","TEAMS_MAS","Ar",3,2949.58,0,1,-999,-999,-999
"Cuniculus paca","C","TEAMS_MAS","G",3,8172.55,1,0,1.01,-999,1
"Atelocynus microtis","C","TEAMS_MAS","G",2,7749.97,1,0,-999,-999,1
"Myoprocta acouchy","C","TEAMS_MAS","G",3,600,0,1,1.97,-999,2
"Ateles paniscus","C","TEAMS_MAS","Ar",5,7900.05,0,1,1,-999,20
"Odocoileus virginianus","C","TEAMS_MAS","G",2,55508.56,1,0,1.57,-999,2.25
"Echimys chrysurus","C","TEAMS_MAS","Ar",2,652.5,1,0,1.94,-999,1
"Leopardus tigrinus","C","TEAMS_MAS","S",1,2250,1,1,-999,-999,-999
"Choloepus didactylus","C","TEAMS_MAS","Ar",2,5160,1,0,1,-999,1
"Speothos venaticus","C","TEAMS_MAS","G",1,5999.98,0,1,3.8,-999,-999
"Dasyprocta leporina","C","TEAMS_MAS","G",3,3020.02,0,1,1.4,-999,-999
"Potos flavus","C","TEAMS_MAS","Ar",3,3000,1,0,1.11,-999,1
"Aotus trivirgatus","C","TEAMS_MAS","Ar",6,899.99,1,0,1.06,-999,3.15
"Priodontes maximus","C","TEAMS_MAS","G",2,45359.68,1,0,1.5,-999,1
"Dasypus kappleri","C","TEAMS_MAS","G",1,9500,1,0,4.47,-999,1
"Bassaricyon alleni","C","TEAMS_MAS","Ar",3,1235.01,1,0,-999,-999,-999
"Galictis vittata","C","TEAMS_MAS","G",5,3200,1,1,-999,-999,-999
"Dactylomys dactylinus","C","TEAMS_MAS","Ar",1,649.99,1,0,-999,-999,2
"Bradypus tridactylus","C","TEAMS_MAS","Ar",1,3849.99,1,1,1,-999,1
"Saimiri sciureus","C","TEAMS_MAS","Ar",5,743.24,0,1,1,-999,34.85
"Saguinus midas","C","TEAMS_MAS","Ar",3,540,0,1,2.02,-999,5.55
"Hydrochoerus hydrochaeris","C","TEAMS_MAS","G",2,48144.91,0,1,3.49,-999,10
"Lontra longicaudis","C","TEAMS_MAS","G",3,6554.96,1,0,3.69,-999,-999
"Pteronura brasiliensis","C","TEAMS_MAS","G",2,23999.93,0,1,2.12,-999,-999
"Procyon cancrivorus","C","TEAMS_MAS","G",5,6949.92,1,0,2.62,-999,-999
"Muntiacus muntjak","A","TEAMS_NAK","G",2,15925.79,1,1,1,-999,-999
"Capricornis milneedwardsii","A","TEAMS_NAK","G",1,69093.52,0,1,-999,-999,-999
"Herpestes urva","A","TEAMS_NAK","G",5,1863.2,1,1,3,-999,-999
"Tragulus javanicus","A","TEAMS_NAK","G",2,2775,1,0,0.98,-999,1
"Paradoxurus hermaphroditus","B","TEAMS_NAK","Ar",4,3156.66,1,0,3.29,-999,-999
"Sus scrofa","B","TEAMS_NAK","G",5,96118.09,1,0,4.52,-999,13
"Tragulus kanchil","B","TEAMS_NAK","G",2,3706.24,1,0,-999,-999,-999
"Pardofelis marmorata","B","TEAMS_NAK","S",1,2854.25,1,0,2,-999,-999
"Prionailurus bengalensis","B","TEAMS_NAK","S",3,3300,1,1,2.5,-999,-999
"Macaca leonina","B","TEAMS_NAK","S",3,5786.96,0,1,-999,-999,-999
"Martes flavigula","B","TEAMS_NAK","Ar",5,1842.5,0,1,3.53,-999,-999
"Melogale moschata","B","TEAMS_NAK","G",3,805.25,1,0,2,-999,-999
"Arctonyx collaris","B","TEAMS_NAK","G",5,6356,1,0,3,-999,-999
"Arctictis binturong","B","TEAMS_NAK","Ar",5,9875,1,0,2.5,-999,-999
"Melogale personata","B","TEAMS_NAK","G",3,1702.5,1,0,2.5,-999,-999
"Macaca assamensis","B","TEAMS_NAK","S",4,12000,0,1,-999,-999,21
"Macaca arctoides","B","TEAMS_NAK","S",4,5000,0,1,1.01,-999,-999
"Viverra zibetha","B","TEAMS_NAK","G",6,9500,1,1,2.89,-999,-999
"Catopuma temminckii","B","TEAMS_NAK","G",2,11500,1,0,1.5,-999,-999
"Cuon alpinus","B","TEAMS_NAK","G",2,14173.33,0,1,4.3,-999,-999
"Manis javanica","B","TEAMS_NAK","Ar",1,5150,1,0,1,-999,-999
"Prionodon pardicolor","B","TEAMS_NAK","S",3,512,1,0,2,-999,-999
"Helarctos malayanus","B","TEAMS_NAK","G",4,46500,1,0,1.1,-999,-999
"Manis pentadactyla","C","TEAMS_NAK","S",1,4675,1,0,1,-999,1
"Rhizomys pruinosus","C","TEAMS_NAK","G",3,2450,1,0,3,-999,-999
"Hystrix brachyura","C","TEAMS_NAK","G",2,8450,1,0,1.41,1,1
"Arctogalidia trivirgata","C","TEAMS_NAK","Ar",4,2250,1,0,2.79,-999,-999
"Paguma larvata","C","TEAMS_NAK","G",3,4300,1,0,2.16,-999,-999
"Canis aureus","C","TEAMS_NAK","G",6,10345.23,1,0,3.74,-999,-999
"Trachypithecus phayrei","C","TEAMS_NAK","Ar",2,8400,0,1,1,-999,12.9
"Nycticebus pygmaeus","C","TEAMS_NAK","Ar",4,900,1,0,1.75,-999,1
"Lepus peguensis","C","TEAMS_NAK","G",1,2267.5,1,0,-999,-999,-999
"Nycticebus bengalensis","C","TEAMS_NAK","Ar",4,1137.36,1,0,-999,-999,-999
"Pygathrix nemaeus","C","TEAMS_NAK","Ar",2,8310,0,1,1.01,9.3,9.3
"Atherurus macrourus","C","TEAMS_NAK","G",2,2000,1,0,1.5,-999,-999
"Muntiacus vuquangensis","C","TEAMS_NAK","G",2,36690.82,1,1,-999,-999,-999
"Macaca mulatta","C","TEAMS_NAK","S",4,3713,0,1,1.01,48.9,38.5
"Petaurista philippensis","C","TEAMS_NAK","Ar",4,1676,1,0,-999,-999,-999
"Ratufa bicolor","C","TEAMS_NAK","Ar",5,2050,0,1,1.5,-999,-999
"Mustela strigidorsa","C","TEAMS_NAK","G",1,1500,1,1,-999,-999,-999
"Nomascus siki","C","TEAMS_NAK","Ar",3,6850.16,0,1,-999,-999,-999
"Viverricula indica","C","TEAMS_NAK","G",5,2908.43,1,1,3.74,1.5,1.5
"Capricornis sumatraensis","C","TEAMS_NAK","G",1,110942.22,0,1,1.22,-999,-999
"Elephas maximus","C","TEAMS_NAK","G",1,2915040,1,1,1.41,-999,7.75
"Herpestes javanicus","C","TEAMS_NAK","G",5,750,1,1,2.21,-999,-999
"Nomascus leucogenys","C","TEAMS_NAK","Ar",3,7320,0,1,-999,-999,1
"Bandicota indica","C","TEAMS_NAK","G",2,719.96,1,0,6.12,-999,-999
"Trachypithecus laotum","C","TEAMS_NAK","Ar",2,8516.46,0,1,-999,-999,-999
"Rhizomys sumatrensis","C","TEAMS_NAK","G",3,1625,1,0,4,-999,-999
"Viverra megaspila","C","TEAMS_NAK","G",6,9250,1,1,-999,-999,-999
"Neofelis nebulosa","C","TEAMS_NAK","S",1,19675.75,0,1,2.25,1,1
"Ursus thibetanus","C","TEAMS_NAK","G",5,77500,0,1,1.5,-999,-999
"Rusa unicolor","C","TEAMS_NAK","G",2,177522.9,1,0,1,-999,-999
"Lutra lutra","C","TEAMS_NAK","G",4,8785.14,1,1,2.01,-999,-999
"Lutrogale perspicillata","C","TEAMS_NAK","G",4,9483.33,0,1,3.24,-999,-999
"Cephalophus callipygus","B","TEAMS_NNN","G",3,18249.88,1,0,-999,-999,-999
"Cephalophus dorsalis","B","TEAMS_NNN","G",3,20000,1,0,1,-999,1
"Potamochoerus porcus","B","TEAMS_NNN","G",4,70000.32,1,0,3,28.5,10.56
"Philantomba monticola","B","TEAMS_NNN","G",3,4896.05,1,0,0.98,-999,1.9
"Cephalophus silvicultor","B","TEAMS_NNN","G",3,72500.33,1,0,1,-999,1
"Pan troglodytes","B","TEAMS_NNN","S",3,42500,0,1,1.05,45,50
"Loxodonta africana","B","TEAMS_NNN","G",1,3940034.28,1,1,0.84,-999,19.5
"Orycteropus afer","B","TEAMS_NNN","G",1,52350.4,1,0,1.1,-999,1
"Herpestes naso","B","TEAMS_NNN","G",5,2999.99,1,1,-999,-999,-999
"Bdeogale nigripes","B","TEAMS_NNN","G",3,2500,1,0,1,-999,-999
"Cercocebus agilis","B","TEAMS_NNN","Ar",3,8000,0,1,-999,-999,-999
"Nandinia binotata","B","TEAMS_NNN","Ar",3,2000,1,0,1.84,-999,-999
"Genetta servalina","B","TEAMS_NNN","Ar",3,1054.99,1,0,1.5,-999,-999
"Panthera pardus","B","TEAMS_NNN","G",1,52038.22,1,0,2.14,1,1
"Hyemoschus aquaticus","B","TEAMS_NNN","G",1,10850.01,0,1,1.22,-999,1
"Tragelaphus eurycerus","B","TEAMS_NNN","G",1,329003.11,0,1,1,-999,13.5
"Syncerus caffer","B","TEAMS_NNN","G",1,580002.68,1,0,1.08,3000,12
"Cephalophus nigrifrons","B","TEAMS_NNN","G",3,13899.85,1,0,-999,-999,-999
"Atilax paludinosus","B","TEAMS_NNN","G",4,3299.97,1,0,2,-999,-999
"Mellivora capensis","B","TEAMS_NNN","G",5,8500,0,1,2.35,-999,-999
"Cercopithecus nictitans","B","TEAMS_NNN","Ar",5,5803.34,0,1,1,13.9,16
"Civettictis civetta","B","TEAMS_NNN","G",6,11999.97,1,0,2.31,-999,-999
"Cephalophus leucogaster","B","TEAMS_NNN","G",3,12699.89,1,0,1,-999,-999
"Hylochoerus meinertzhageni","B","TEAMS_NNN","G",1,188500,1,0,4,-999,10
"Tragelaphus spekii","B","TEAMS_NNN","G",1,77999.17,1,1,1,-999,6
"Cercopithecus cephus","B","TEAMS_NNN","Ar",5,3484.98,0,1,1.01,8,11
"Dendrohyrax dorsalis","C","TEAMS_NNN","Ar",2,3175,1,0,1.22,1,1
"Atherurus africanus","C","TEAMS_NNN","G",2,1934,1,0,1.5,-999,1
"Protoxerus stangeri","C","TEAMS_NNN","S",2,621.5,0,1,1.47,-999,-999
"Poiana richardsonii","C","TEAMS_NNN","Ar",4,500,1,0,2.23,-999,-999
"Cricetomys emini","C","TEAMS_NNN","G",4,1299.99,1,0,0.97,-999,-999
"Gorilla gorilla","C","TEAMS_NNN","G",2,131625.52,0,1,1.05,10,6
"Cercopithecus neglectus","C","TEAMS_NNN","Ar",5,5479.99,0,1,1.02,-999,4.5
"Lophocebus albigena","C","TEAMS_NNN","Ar",2,7690.06,0,1,1.01,17,16
"Colobus guereza","C","TEAMS_NNN","Ar",2,10600,0,1,1,7,7.6
"Genetta maculata","C","TEAMS_NNN","Ar",3,2225,1,0,2.12,-999,-999
"Anomalurus derbianus","C","TEAMS_NNN","Ar",4,649.99,1,0,1,-999,1
"Crossarchus platycephalus","C","TEAMS_NNN","G",2,1250,1,1,-999,-999,-999
"Hydrictis maculicollis","C","TEAMS_NNN","G",3,4180.53,1,1,2,-999,-999
"Potamogale velox","C","TEAMS_NNN","G",3,659.99,1,0,2.5,1,1
"Thryonomys swinderianus","C","TEAMS_NNN","G",3,3180.02,1,0,3.88,-999,1
"Tapirus indicus","A","TEAMS_PSH","G",1,296250,1,0,1,1,1.5
"Cuon alpinus","A","TEAMS_PSH","G",2,14173.33,0,1,4.3,-999,-999
"Helarctos malayanus","A","TEAMS_PSH","G",4,46500,1,0,1.1,-999,-999
"Capricornis sumatraensis","A","TEAMS_PSH","G",1,110942.22,0,1,1.22,-999,-999
"Prionailurus planiceps","A","TEAMS_PSH","G",2,6750,1,0,-999,1,1
"Viverra megaspila","A","TEAMS_PSH","G",6,9250,1,1,-999,-999,-999
"Herpestes urva","A","TEAMS_PSH","G",5,1863.2,1,1,3,-999,-999
"Macaca fascicularis","B","TEAMS_PSH","S",3,3991.5,0,1,1,23.6,27
"Macaca nemestrina","B","TEAMS_PSH","S",4,6296.5,0,1,1.01,-999,22.6
"Sus scrofa","B","TEAMS_PSH","G",5,96118.09,1,0,4.52,-999,13
"Tragulus kanchil","B","TEAMS_PSH","G",2,3706.24,1,0,-999,-999,-999
"Herpestes brachyurus","B","TEAMS_PSH","G",5,1853.52,1,1,3.49,-999,-999
"Martes flavigula","B","TEAMS_PSH","Ar",5,1842.5,0,1,3.53,-999,-999
"Muntiacus muntjak","B","TEAMS_PSH","G",2,15925.79,1,1,1,-999,-999
"Paguma larvata","B","TEAMS_PSH","G",3,4300,1,0,2.16,-999,-999
"Hemigalus derbyanus","B","TEAMS_PSH","G",1,2322.5,1,0,1.73,-999,-999
"Arctictis binturong","B","TEAMS_PSH","Ar",5,9875,1,0,2.5,-999,-999
"Panthera pardus","B","TEAMS_PSH","G",1,52038.22,1,0,2.14,1,1
"Viverra zibetha","B","TEAMS_PSH","G",6,9500,1,1,2.89,-999,-999
"Trachypithecus obscurus","B","TEAMS_PSH","Ar",2,6420,0,1,1.01,14,10
"Prionodon linsang","B","TEAMS_PSH","S",3,700,1,0,2.3,-999,-999
"Rusa unicolor","B","TEAMS_PSH","G",2,177522.9,1,0,1,-999,-999
"Presbytis siamensis","B","TEAMS_PSH","Ar",3,5895.06,0,1,-999,-999,-999
"Prionailurus bengalensis","B","TEAMS_PSH","S",3,3300,1,1,2.5,-999,-999
"Manis javanica","B","TEAMS_PSH","Ar",1,5150,1,0,1,-999,-999
"Pardofelis marmorata","B","TEAMS_PSH","S",1,2854.25,1,0,2,-999,-999
"Neofelis nebulosa","B","TEAMS_PSH","S",1,19675.75,0,1,2.25,1,1
"Tragulus napu","B","TEAMS_PSH","G",2,4950,1,0,0.96,-999,-999
"Viverra tangalunga","B","TEAMS_PSH","G",6,6885,1,1,1.92,-999,-999
"Hystrix brachyura","C","TEAMS_PSH","G",2,8450,1,0,1.41,1,1
"Sus barbatus","C","TEAMS_PSH","G",5,96666.67,1,0,6.59,-999,6.25
"Arctogalidia trivirgata","C","TEAMS_PSH","Ar",4,2250,1,0,2.79,-999,-999
"Symphalangus syndactylus","C","TEAMS_PSH","Ar",3,10839,0,1,1.02,-999,3.8
"Nycticebus coucang","C","TEAMS_PSH","Ar",4,803.5,1,0,1.12,-999,1
"Petaurista elegans","C","TEAMS_PSH","Ar",4,997,1,0,1,-999,-999
"Aeromys tephromelas","C","TEAMS_PSH","Ar",4,1075,1,0,1.07,-999,-999
"Hylobates lar","C","TEAMS_PSH","Ar",3,4892,0,1,1.01,-999,3.2
"Atherurus macrourus","C","TEAMS_PSH","G",2,2000,1,0,1.5,-999,-999
"Ratufa affinis","C","TEAMS_PSH","Ar",5,1156.25,0,1,-999,-999,-999
"Ratufa bicolor","C","TEAMS_PSH","Ar",5,2050,0,1,1.5,-999,-999
"Petaurista petaurista","C","TEAMS_PSH","Ar",4,1660.13,1,0,1,-999,-999
"Viverricula indica","C","TEAMS_PSH","G",5,2908.43,1,1,3.74,1.5,1.5
"Herpestes javanicus","C","TEAMS_PSH","G",5,750,1,1,2.21,-999,-999
"Mustela nudipes","C","TEAMS_PSH","S",1,500,1,1,4,-999,-999
"Rhizomys sumatrensis","C","TEAMS_PSH","G",3,1625,1,0,4,-999,-999
"Cynogale bennettii","C","TEAMS_PSH","G",4,4500,1,0,2.3,-999,-999
"Paradoxurus hermaphroditus","C","TEAMS_PSH","Ar",4,3156.66,1,0,3.29,-999,-999
"Lutra sumatrana","C","TEAMS_PSH","G",4,5500,1,1,-999,-999,-999
"Lutrogale perspicillata","C","TEAMS_PSH","G",4,9483.33,0,1,3.24,-999,-999
"Potamochoerus larvatus","A","TEAMS_RNF","G",4,48781.25,1,0,2.73,7.2,8
"Hemicentetes nigriceps","A","TEAMS_RNF","G",1,102.99,1,0,2.84,-999,-999
"Setifer setosus","A","TEAMS_RNF","G",2,294,1,0,3.24,1,1
"Microgale cowani","A","TEAMS_RNF","G",1,13.8,1,1,-999,-999,-999
"Hemicentetes semispinosus","A","TEAMS_RNF","G",1,137.8,1,0,5.32,18,18
"Cheirogaleus major","A","TEAMS_RNF","Ar",4,450,1,0,2.26,1,1
"Eulemur fulvus","A","TEAMS_RNF","Ar",2,3150,0,1,1.1,9.25,9.15
"Canis lupus","A","TEAMS_RNF","G",1,32183.33,1,0,4.98,-999,-999
"Fossa fossana","B","TEAMS_RNF","S",4,1500,1,0,1,2,2
"Galidia elegans","B","TEAMS_RNF","S",6,800,0,1,1,1.5,1.75
"Tenrec ecaudatus","B","TEAMS_RNF","G",2,868,1,0,16.89,1,1
"Cryptoprocta ferox","B","TEAMS_RNF","S",3,9500,1,0,2.98,1,1
"Galidictis fasciata","B","TEAMS_RNF","G",2,550,1,0,1,2,2
"Daubentonia madagascariensis","B","TEAMS_RNF","Ar",3,2500,1,0,1.01,1,1
"Eupleres goudotii","B","TEAMS_RNF","G",2,3000,1,0,1,2,2
"Eulemur rubriventer","B","TEAMS_RNF","Ar",2,1400,0,1,1.01,4.75,3.3
"Hapalemur griseus","B","TEAMS_RNF","Ar",1,1400,0,1,1.5,4,3.1
"Propithecus edwardsi","B","TEAMS_RNF","Ar",3,6573.27,0,1,-999,-999,6
"Lepilemur microdon","B","TEAMS_RNF","Ar",1,900,1,0,-999,1,1
"Hapalemur aureus","B","TEAMS_RNF","Ar",1,1575,0,1,1.01,4,3
"Varecia variegata","C","TEAMS_RNF","Ar",1,3850,0,0,2.16,3.5,2.8
"Prolemur simus","C","TEAMS_RNF","Ar",2,2030.41,0,0,1,4,7.5
"Loxodonta africana","A","TEAMS_UDZ","G",1,3940034.28,1,1,0.84,-999,19.5
"Rhynchocyon cirnei","A","TEAMS_UDZ","G",1,490,0,1,1.93,-999,-999
"Petrodromus tetradactylus","A","TEAMS_UDZ","G",1,187.5,0,1,1,-999,1.5
"Atilax paludinosus","B","TEAMS_UDZ","G",4,3299.97,1,0,2,-999,-999
"Bdeogale crassicauda","B","TEAMS_UDZ","G",3,1549.99,1,0,0.96,-999,-999
"Cercocebus sanjei","B","TEAMS_UDZ","Ar",2,8000,0,1,-999,-999,-999
"Cephalophus spadix","B","TEAMS_UDZ","G",3,56000.25,1,0,-999,-999,-999
"Panthera pardus","B","TEAMS_UDZ","G",1,52038.22,1,0,2.14,1,1
"Civettictis civetta","B","TEAMS_UDZ","G",6,11999.97,1,0,2.31,-999,-999
"Potamochoerus larvatus","B","TEAMS_UDZ","G",4,48781.25,1,0,2.73,7.2,8
"Papio cynocephalus","B","TEAMS_UDZ","G",4,15822.15,0,1,1.01,52.3,48.2
"Colobus angolensis","B","TEAMS_UDZ","Ar",2,9850,0,1,1.01,9,10.9
"Nandinia binotata","B","TEAMS_UDZ","Ar",3,2000,1,0,1.84,-999,-999
"Genetta servalina","B","TEAMS_UDZ","Ar",3,1054.99,1,0,1.5,-999,-999
"Cercopithecus mitis","B","TEAMS_UDZ","Ar",4,5000,0,1,1,-999,16
"Mellivora capensis","B","TEAMS_UDZ","G",5,8500,0,1,2.35,-999,-999
"Mungos mungo","B","TEAMS_UDZ","G",2,1925,0,1,2.68,-999,-999
"Syncerus caffer","B","TEAMS_UDZ","G",1,580002.68,1,0,1.08,3000,12
"Tragelaphus scriptus","B","TEAMS_UDZ","G",1,43250.39,1,1,1,-999,1
"Crocuta crocuta","B","TEAMS_UDZ","G",1,66492.06,1,0,1.91,-999,-999
"Leptailurus serval","B","TEAMS_UDZ","G",1,11999.97,1,0,2.35,-999,-999
"Dendrohyrax arboreus","B","TEAMS_UDZ","Ar",2,2949.99,1,0,1.51,-999,1
"Orycteropus afer","B","TEAMS_UDZ","G",1,52350.4,1,0,1.1,-999,1
"Otocyon megalotis","C","TEAMS_UDZ","G",4,4150.02,1,1,4,-999,-999
"Redunca arundinum","C","TEAMS_UDZ","G",1,58000.27,1,1,0.98,-999,1.75
"Chlorocebus pygerythrus","C","TEAMS_UDZ","S",4,4993,0,1,-999,-999,-999
"Cricetomys ansorgei","C","TEAMS_UDZ","G",4,1285.41,1,0,-999,-999,-999
"Paraxerus vexillarius","C","TEAMS_UDZ","S",3,675,0,1,-999,-999,-999
"Kobus ellipsiprymnus","C","TEAMS_UDZ","G",1,210000.34,1,1,1,-999,12
"Alcelaphus buselaphus","C","TEAMS_UDZ","G",1,171001.53,0,1,1,-999,20
"Piliocolobus gordonorum","C","TEAMS_UDZ","Ar",2,8591.69,0,1,-999,-999,-999
"Proteles cristata","C","TEAMS_UDZ","G",1,8139.39,1,0,2.64,-999,-999
"Otolemur garnettii","C","TEAMS_UDZ","Ar",3,760,1,0,1.02,-999,1
"Rhynchogale melleri","C","TEAMS_UDZ","G",3,2500,1,0,2,-999,-999
"Diceros bicornis","C","TEAMS_UDZ","G",1,1180510.9,1,0,1,1,1
"Felis silvestris","C","TEAMS_UDZ","G",3,5099.99,1,0,3.59,-999,-999
"Giraffa camelopardalis","C","TEAMS_UDZ","G",1,899994.8,1,0,1.29,-999,100
"Ichneumia albicauda","C","TEAMS_UDZ","G",4,3500.02,1,0,2.35,-999,-999
"Hystrix africaeaustralis","C","TEAMS_UDZ","G",2,14936.02,1,0,1.51,-999,1.5
"Heterohyrax brucei","C","TEAMS_UDZ","S",1,2625,0,1,1.89,34,17.5
"Tragelaphus strepsiceros","C","TEAMS_UDZ","G",1,213501.04,1,1,1,-999,12
"Philantomba monticola","C","TEAMS_UDZ","G",3,4896.05,1,0,0.98,-999,1.9
"Genetta genetta","C","TEAMS_UDZ","Ar",3,1800,1,0,2.29,-999,-999
"Canis adustus","C","TEAMS_UDZ","G",4,10249.91,1,0,4.5,-999,-999
"Phacochoerus africanus","C","TEAMS_UDZ","G",3,82500,1,0,-999,-999,-999
"Ictonyx striatus","C","TEAMS_UDZ","G",4,1299.99,1,0,2.3,-999,-999
"Oreotragus oreotragus","C","TEAMS_UDZ","G",1,12999.9,0,1,0.98,-999,2
"Otolemur crassicaudatus","C","TEAMS_UDZ","Ar",3,1500,1,0,1.14,-999,3.5
"Hystrix cristata","C","TEAMS_UDZ","G",2,16250,1,0,1.73,-999,-999
"Caracal caracal","C","TEAMS_UDZ","G",1,13749.91,1,0,2.3,-999,-999
"Panthera leo","C","TEAMS_UDZ","G",2,161499.06,1,0,2.75,-999,-999
"Connochaetes taurinus","C","TEAMS_UDZ","G",1,179998.96,0,1,0.98,-999,20
"Herpestes ichneumon","C","TEAMS_UDZ","G",5,5174.98,1,1,3,-999,-999
"Hippotragus niger","C","TEAMS_UDZ","G",1,227499.27,0,1,1,-999,15
"Thryonomys gregorianus","C","TEAMS_UDZ","G",3,2707.14,1,0,2.91,-999,1
"Genetta maculata","C","TEAMS_UDZ","Ar",3,2225,1,0,2.12,-999,-999
"Anomalurus derbianus","C","TEAMS_UDZ","Ar",4,649.99,1,0,1,-999,1
"Sylvicapra grimmia","C","TEAMS_UDZ","G",3,19499.79,1,0,0.98,-999,1
"Aepyceros melampus","C","TEAMS_UDZ","G",1,52500.08,1,1,0.98,-999,15.25
"Redunca redunca","C","TEAMS_UDZ","G",1,44050.41,1,1,1,-999,-999
"Aonyx capensis","C","TEAMS_UDZ","G",2,18999.84,1,0,2.62,-999,-999
"Hippopotamus amphibius","C","TEAMS_UDZ","G",1,1417489.99,1,0,1,585,585
"Thryonomys swinderianus","C","TEAMS_UDZ","G",3,3180.02,1,0,3.88,-999,1
"Marmosa mexicana","A","TEAMS_VB","Ar",5,49.45,1,0,11.6,-999,1
"Metachirus nudicaudatus","A","TEAMS_VB","S",5,375,1,0,3.87,-999,1
"Caluromys derbianus","A","TEAMS_VB","Ar",5,297,1,0,3.14,-999,1
"Canis lupus","A","TEAMS_VB","G",1,32183.33,1,0,4.98,-999,-999
"Cebus capucinus","A","TEAMS_VB","Ar",6,2733.32,0,1,1.01,-999,18.15
"Pecari tajacu","B","TEAMS_VB","G",4,21266.69,1,0,1.56,11.65,20
"Dasypus novemcinctus","B","TEAMS_VB","G",1,4203.78,1,0,3.96,-999,1
