"name","frq","year"
"Neotoma albigula","3","2016"
"Dipodomys merriami","1","2016"
"Dipodomys deserti","3","2016"
"Lepus alleni","3","2019"
"Philander andersoni","3","2016"
"Metachirus nudicaudatus","4","2015"
"Cebus albifrons","6","2020"
"Dasyprocta fuliginosa","3","2016"
"Didelphis marsupialis","4","2021"
"Speothos venaticus","9","2011"
"Myrmecophaga tridactyla","10","2014"
"Priodontes maximus","11","2014"
"Galictis vittata","3","2016"
"Panthera onca","8","2017"
"Tapirus terrestris","4","2019"
"Leopardus wiedii","9","2015"
"Leopardus pardalis","8","2015"
"Mazama americana","4","2016"
"Atelocynus microtis","8","2011"
"Nasua nasua","3","2016"
"Tamandua tetradactyla","5","2014"
"Cuniculus paca","3","2016"
"Eira barbara","3","2016"
"Tayassu pecari","3","2013"
"Coendou prehensilis","1","2016"
"Myoprocta pratti","2","2016"
"Echimys saturnus","3","2016"
"Mustela africana","4","2016"
"Alouatta seniculus","5","2020"
"Sciurus igniventris","3","2016"
"Leopardus tigrinus","1","2016"
"Choloepus didactylus","5","2014"
"Bradypus variegatus","5","2014"
"Cabassous unicinctus","5","2014"
"Ateles belzebuth","10","2019"
"Potos flavus","3","2016"
"Dasypus novemcinctus","5","2014"
"Dasypus kappleri","5","2014"
"Bassaricyon alleni","1","2016"
"Aotus vociferans","5","2021"
"Dactylomys dactylinus","3","2016"
"Coendou bicolor","3","2016"
"Dinomys branickii","5","2017"
"Chironectes minimus","3","2016"
"Hydrochoerus hydrochaeris","3","2016"
"Lontra longicaudis","10","2015"
"Pteronura brasiliensis","11","2015"
"Procyon cancrivorus","3","2016"
"Mustela nivalis","1","2016"
"Oryx beisa","3","2018"
"Giraffa camelopardalis","5","2018"
"Hippopotamus amphibius","4","2017"
"Xerus erythropus","4","2016"
"Xerus rutilus","4","2016"
"Cephalophus silvicultor","3","2016"
"Lycaon pictus","9","2020"
"Litocranius walleri","3","2016"
"Equus grevyi","8","2016"
"Madoqua guentheri","3","2016"
"Tragelaphus imberbis","3","2016"
"Eudorcas thomsonii","3","2018"
"Acinonyx jubatus","8","2015"
"Erythrocebus patas","1","2020"
"Panthera leo","7","2016"
"Sylvilagus nuttallii","3","2019"
"Sylvilagus bachmani","3","2019"
"Cephalophus spadix","8","2016"
"Rhynchocyon petersi","6","2016"
"Bdeogale crassicauda","5","2016"
"Phacochoerus aethiopicus","4","2016"
"Hippotragus niger","3","2017"
"Colobus angolensis","5","2020"
"Neotoma fuscipes","4","2016"
"Sciurus griseus","3","2016"
"Lepus saxatilis","3","2019"
"Galago senegalensis","5","2019"
"Kobus kob","3","2016"
"Genetta pardina","2","2016"
"Hippotragus equinus","3","2017"
"Ourebia ourebi","3","2016"
"Chlorocebus sabaeus","2","2020"
"Cephalophus rufilatus","3","2016"
"Mungos gambianus","4","2016"
"Colobus vellerosus","7","2020"
"Genetta thierryi","3","2015"
"Sciurus vulgaris","4","2016"
"Lynx canadensis","5","2016"
"Canis lupus","10","2018"
"Rangifer tarandus","4","2016"
"Gulo gulo","7","2016"
"Pronolagus rupestris","3","2019"
"Hystrix africaeaustralis","4","2016"
"Pedetes surdaster","2","2016"
"Anomalurus derbianus","4","2016"
"Tragulus javanicus","3","2015"
"Presbytis melalophos","3","2020"
"Macaca nemestrina","6","2020"
"Tragulus napu","4","2015"
"Symphalangus syndactylus","4","2020"
"Hemigalus derbyanus","3","2015"
"Cynogale bennettii","6","2015"
"Herpestes brachyurus","3","2016"
"Trichys fasciculata","3","2017"
"Herpestes semitorquatus","3","2015"
"Nycticebus coucang","1","2020"
"Hylobates agilis","4","2020"
"Viverra tangalunga","3","2016"
"Dicerorhinus sumatrensis","8","2020"
"Ratufa affinis","3","2017"
"Hystrix sumatrae","3","2016"
"Trachypithecus cristatus","3","2020"
"Mustela nudipes","3","2015"
"Lutra sumatrana","8","2015"
"Prionailurus planiceps","9","2015"
"Sylvilagus brasiliensis","1","2019"
"Cebus capucinus","1","2020"
"Marmosa robinsoni","4","2016"
"Tamandua mexicana","5","2014"
"Mazama temama","2","2016"
"Cabassous centralis","5","2014"
"Philander opossum","3","2016"
"Tapirus bairdii","10","2016"
"Alouatta palliata","6","2021"
"Choloepus hoffmanni","5","2014"
"Ateles geoffroyi","11","2021"
"Dasyprocta punctata","1","2016"
"Hydrochoerus isthmius","2","2016"
"Genetta tigrina","3","2015"
"Genetta victoriae","3","2016"
"Tragelaphus spekii","3","2016"
"Gorilla beringei","4","2019"
"Pan troglodytes","9","2016"
"Cephalophus weynsi","3","2016"
"Dendrohyrax dorsalis","4","2015"
"Chlorocebus tantalus","2","2020"
"Cercopithecus ascanius","5","2019"
"Protoxerus stangeri","4","2016"
"Cricetomys emini","4","2016"
"Damaliscus lunatus","3","2016"
"Lophocebus albigena","6","2020"
"Potamogale velox","5","2016"
"Mazama nana","4","2015"
"Dasypus septemcinctus","5","2014"
"Sciurus gilvigularis","3","2019"
"Alouatta belzebul","4","2019"
"Euphractus sexcinctus","5","2014"
"Echimys chrysurus","3","2016"
"Aotus azarae","4","2018"
"Chiropotes utahickae","6","2020"
"Coendou nycthemera","3","2016"
"Monodelphis glirina","2","2021"
"Saimiri sciureus","5","2021"
"Saimiri boliviensis","5","2021"
"Ateles chamek","4","2020"
"Pithecia irrorata","1","2019"
"Mazama chunyi","5","2016"
"Dactylomys boliviensis","3","2016"
"Aotus nigriceps","4","2018"
"Marmosa murina","3","2015"
"Monodelphis brevicaudata","3","2015"
"Lutreolina crassicaudata","4","2016"
"Alouatta macconnelli","5","2020"
"Chiropotes chiropotes","4","2018"
"Pithecia pithecia","5","2018"
"Didelphis imperfecta","3","2016"
