"name","frq","year","IUCN_cat"
"Glaucomys sabrinus","3","2016","LC"
"Aplodontia rufa","4","2016","LC"
"Marmota caligata","4","2018","LC"
"Martes americana","3","2016","LC"
"Atherurus africanus","4","2016","LC"
"Atelerix albiventris","3","2016","LC"
"Cephalophus nigrifrons","3","2016","LC"
"Lophiomys imhausi","4","2016","LC"
"Bdeogale jacksoni","6","2015","NT"
"Procavia capensis","4","2015","LC"
"Dendrohyrax arboreus","4","2015","LC"
"Raphicerus campestris","3","2016","LC"
"Redunca fulvorufula","4","2017","EN"
"Alcelaphus buselaphus","4","2019","LC"
"Tragelaphus strepsiceros","3","2016","LC"
"Tragelaphus eurycerus","3","2016","NT"
"Equus quagga","4","2016","NT"
"Oreotragus oreotragus","3","2016","LC"
"Nandinia binotata","3","2015","LC"
"Hylochoerus meinertzhageni","3","2016","LC"
"Colobus guereza","5","2019","LC"
"Genetta servalina","4","2016","LC"
"Papio anubis","4","2020","LC"
"Hydrictis maculicollis","5","2015","NT"
"Cervus elaphus","2","2018","LC"
"Neotoma floridana","3","2016","LC"
"Sylvilagus aquaticus","3","2019","LC"
"Ammospermophilus harrisii","3","2016","LC"
"Neotoma albigula","3","2016","LC"
"Dipodomys merriami","1","2016","LC"
"Dipodomys deserti","3","2016","LC"
"Lepus alleni","3","2019","LC"
"Philander andersoni","3","2016","LC"
"Metachirus nudicaudatus","4","2015","LC"
"Cebus albifrons","6","2020","LC"
"Dasyprocta fuliginosa","3","2016","LC"
"Didelphis marsupialis","4","2021","LC"
"Speothos venaticus","9","2011","NT"
"Myrmecophaga tridactyla","10","2014","VU"
"Priodontes maximus","11","2014","VU"
"Galictis vittata","3","2016","LC"
"Panthera onca","8","2017","NT"
"Tapirus terrestris","4","2019","VU"
"Leopardus wiedii","9","2015","NT"
"Leopardus pardalis","8","2015","LC"
"Mazama americana","4","2016","DD"
"Atelocynus microtis","8","2011","NT"
"Nasua nasua","3","2016","LC"
"Tamandua tetradactyla","5","2014","LC"
"Cuniculus paca","3","2016","LC"
"Eira barbara","3","2016","LC"
"Tayassu pecari","3","2013","VU"
"Coendou prehensilis","1","2016","LC"
"Myoprocta pratti","2","2016","LC"
"Echimys saturnus","3","2016","DD"
"Mustela africana","4","2016","LC"
"Alouatta seniculus","5","2020","LC"
"Sciurus igniventris","3","2016","LC"
"Leopardus tigrinus","1","2016","VU"
"Choloepus didactylus","5","2014","LC"
"Bradypus variegatus","5","2014","LC"
"Cabassous unicinctus","5","2014","LC"
"Ateles belzebuth","10","2019","EN"
"Potos flavus","3","2016","LC"
"Dasypus novemcinctus","5","2014","LC"
"Dasypus kappleri","5","2014","LC"
"Bassaricyon alleni","1","2016","LC"
"Aotus vociferans","5","2021","LC"
"Dactylomys dactylinus","3","2016","LC"
"Coendou bicolor","3","2016","LC"
"Dinomys branickii","5","2017","LC"
"Chironectes minimus","3","2016","LC"
"Hydrochoerus hydrochaeris","3","2016","LC"
"Lontra longicaudis","10","2015","NT"
"Pteronura brasiliensis","11","2015","EN"
"Procyon cancrivorus","3","2016","LC"
"Mustela nivalis","1","2016","LC"
"Oryx beisa","3","2018","EN"
"Giraffa camelopardalis","5","2018","VU"
"Hippopotamus amphibius","4","2017","VU"
"Xerus erythropus","4","2016","LC"
"Xerus rutilus","4","2016","LC"
"Cephalophus silvicultor","3","2016","NT"
"Lycaon pictus","9","2020","EN"
"Litocranius walleri","3","2016","NT"
"Equus grevyi","8","2016","EN"
"Madoqua guentheri","3","2016","LC"
"Tragelaphus imberbis","3","2016","NT"
"Eudorcas thomsonii","3","2018","LC"
"Acinonyx jubatus","8","2015","VU"
"Erythrocebus patas","1","2020","NT"
"Panthera leo","7","2016","VU"
"Sylvilagus nuttallii","3","2019","LC"
"Sylvilagus bachmani","3","2019","LC"
"Cephalophus spadix","8","2016","EN"
"Rhynchocyon petersi","6","2016","LC"
"Bdeogale crassicauda","5","2016","LC"
"Phacochoerus aethiopicus","4","2016","LC"
"Hippotragus niger","3","2017","LC"
"Colobus angolensis","5","2020","VU"
"Neotoma fuscipes","4","2016","LC"
"Sciurus griseus","3","2016","LC"
"Lepus saxatilis","3","2019","LC"
"Galago senegalensis","5","2019","LC"
"Kobus kob","3","2016","LC"
"Genetta pardina","2","2016","LC"
"Hippotragus equinus","3","2017","LC"
"Ourebia ourebi","3","2016","LC"
"Chlorocebus sabaeus","2","2020","LC"
"Cephalophus rufilatus","3","2016","LC"
"Mungos gambianus","4","2016","LC"
"Colobus vellerosus","7","2020","CR"
"Genetta thierryi","3","2015","LC"
"Sciurus vulgaris","4","2016","LC"
"Lynx canadensis","5","2016","LC"
"Canis lupus","10","2018","LC"
"Rangifer tarandus","4","2016","VU"
"Gulo gulo","7","2016","LC"
"Pronolagus rupestris","3","2019","LC"
"Hystrix africaeaustralis","4","2016","LC"
"Pedetes surdaster","2","2016","LC"
"Anomalurus derbianus","4","2016","LC"
"Tragulus javanicus","3","2015","DD"
"Presbytis melalophos","3","2020","EN"
"Macaca nemestrina","6","2020","VU"
"Tragulus napu","4","2015","LC"
"Symphalangus syndactylus","4","2020","EN"
"Hemigalus derbyanus","3","2015","NT"
"Cynogale bennettii","6","2015","EN"
"Herpestes brachyurus","3","2016","NT"
"Trichys fasciculata","3","2017","LC"
"Herpestes semitorquatus","3","2015","NT"
"Nycticebus coucang","1","2020","EN"
"Hylobates agilis","4","2020","EN"
"Viverra tangalunga","3","2016","LC"
"Dicerorhinus sumatrensis","8","2020","CR"
"Ratufa affinis","3","2017","NT"
"Hystrix sumatrae","3","2016","LC"
"Trachypithecus cristatus","3","2020","VU"
"Mustela nudipes","3","2015","LC"
"Lutra sumatrana","8","2015","EN"
"Prionailurus planiceps","9","2015","EN"
"Sylvilagus brasiliensis","1","2019","EN"
"Cebus capucinus","1","2020","VU"
"Marmosa robinsoni","4","2016","LC"
"Tamandua mexicana","5","2014","LC"
"Mazama temama","2","2016","DD"
"Cabassous centralis","5","2014","DD"
"Philander opossum","3","2016","LC"
"Tapirus bairdii","10","2016","EN"
"Alouatta palliata","6","2021","VU"
"Choloepus hoffmanni","5","2014","LC"
"Ateles geoffroyi","11","2021","EN"
"Dasyprocta punctata","1","2016","LC"
"Hydrochoerus isthmius","2","2016","DD"
"Genetta tigrina","3","2015","LC"
"Genetta victoriae","3","2016","LC"
"Tragelaphus spekii","3","2016","LC"
"Gorilla beringei","4","2019","CR"
"Pan troglodytes","9","2016","EN"
"Cephalophus weynsi","3","2016","LC"
"Dendrohyrax dorsalis","4","2015","LC"
"Chlorocebus tantalus","2","2020","LC"
"Cercopithecus ascanius","5","2019","LC"
"Protoxerus stangeri","4","2016","LC"
"Cricetomys emini","4","2016","LC"
"Damaliscus lunatus","3","2016","LC"
"Lophocebus albigena","6","2020","VU"
"Potamogale velox","5","2016","LC"
"Mazama nana","4","2015","VU"
"Dasypus septemcinctus","5","2014","LC"
"Sciurus gilvigularis","3","2019","DD"
"Alouatta belzebul","4","2019","VU"
"Euphractus sexcinctus","5","2014","LC"
"Echimys chrysurus","3","2016","LC"
"Aotus azarae","4","2018","LC"
"Chiropotes utahickae","6","2020","VU"
"Coendou nycthemera","3","2016","DD"
"Monodelphis glirina","2","2021","LC"
"Saimiri sciureus","5","2021","LC"
"Saimiri boliviensis","5","2021","LC"
"Ateles chamek","4","2020","EN"
"Pithecia irrorata","1","2019","DD"
"Mazama chunyi","5","2016","VU"
"Dactylomys boliviensis","3","2016","LC"
"Aotus nigriceps","4","2018","LC"
"Marmosa murina","3","2015","LC"
"Monodelphis brevicaudata","3","2015","LC"
"Lutreolina crassicaudata","4","2016","LC"
"Alouatta macconnelli","5","2020","LC"
"Chiropotes chiropotes","4","2018","LC"
"Pithecia pithecia","5","2018","LC"
"Didelphis imperfecta","3","2016","LC"
"Cavia aperea","1","2016","LC"
"Myoprocta acouchy","3","2016","LC"
"Ateles paniscus","11","2021","VU"
"Dasyprocta leporina","1","2016","LC"
"Bradypus tridactylus","5","2014","LC"
"Saguinus midas","5","2021","LC"
"Cerdocyon thous","4","2015","LC"
"Crossarchus obscurus","3","2015","LC"
"Euoticus pallidus","3","2020","NT"
"Mandrillus leucophaeus","8","2020","EN"
"Potamochoerus porcus","3","2016","LC"
"Herpestes naso","3","2015","LC"
"Cephalophus ogilbyi","5","2016","LC"
"Cercocebus torquatus","7","2019","EN"
"Cercopithecus nictitans","6","2020","NT"
"Hyemoschus aquaticus","4","2016","LC"
"Bdeogale nigripes","3","2015","LC"
"Cercopithecus mona","5","2020","NT"
"Genetta cristata","4","2015","VU"
"Cephalophus dorsalis","4","2020","NT"
"Piliocolobus preussi","9","2019","CR"
"Cercopithecus erythrotis","8","2020","VU"
"Crossarchus platycephalus","3","2016","LC"
"Aotus trivirgatus","4","2018","LC"
"Melogale moschata","3","2016","LC"
"Manis pentadactyla","4","2019","CR"
"Nycticebus pygmaeus","7","2020","EN"
"Pygathrix nemaeus","3","2020","CR"
"Muntiacus vuquangensis","3","2016","CR"
"Macaca mulatta","4","2020","LC"
"Nomascus siki","3","2020","CR"
"Nomascus leucogenys","3","2020","CR"
